# The Voronoi cells of the 512 games (games.csv) on the unit disk, as every sunflower map draws them: the Voronoi
# diagram of the 512 disk points, their 512 inversions in the unit circle and 32 far points on the circle of radius 3,
# each cell of a real point clipped to the unit circle by Sutherland-Hodgman against a circumscribed 64-gon, the cut
# vertices pushed back onto the circle (DiskM2WF/Opt/vor.py, cells(); common.games.compute_cells).  The cells tile
# the disk up to the 64-gon (total area 99.94% of pi).
# Columns:
#   ipt   the cell (games.csv); rows of one cell are consecutive, cells in ipt order
#   k     the vertex, 0..n-1, in the polygon's cyclic order (as scipy's Voronoi gave it; the orientation varies)
#   x, y  the vertex on the unit disk, float64 written round-trip exact
ipt,k,x,y
0,0,-0.0024705132141492545,0.06134890586331788
0,1,0.03060405735725232,-0.0016341683672230246
0,2,-0.03436398073857911,-0.0256384223167629
0,3,-0.07085069183560735,0.03432895830645026
0,4,-0.06380881611604061,0.05840271119102926
1,0,0.003209561219690911,-0.10938826578617872
1,1,0.04300285305680601,-0.07910581163164351
1,2,0.03942939212467217,-0.004692561993025611
1,3,0.03060405735725232,-0.0016341683672230246
1,4,-0.03436398073857911,-0.0256384223167629
1,5,-0.04539024763031772,-0.04968407684345359
2,0,0.0195511316578239,0.09570978567666598
2,1,0.07983217962868927,0.09559579841756596
2,2,0.08541963121964398,0.08665022021159352
2,3,0.06930298013225059,0.0056224089800496965
2,4,0.03942939212467217,-0.004692561993025611
2,5,0.03060405735725232,-0.0016341683672230246
2,6,-0.0024705132141492545,0.06134890586331788
3,0,-0.12898163934446608,-1.5451819665440215e-05
3,1,-0.07085069183560735,0.03432895830645026
3,2,-0.03436398073857911,-0.0256384223167629
3,3,-0.04539024763031772,-0.04968407684345359
3,4,-0.08241858895924503,-0.0624525228992755
3,5,-0.13384066871310263,-0.021735405551714042
4,0,0.09680716836590865,-0.09494262441554384
4,1,0.04300285305680601,-0.07910581163164351
4,2,0.03942939212467217,-0.004692561993025611
4,3,0.06930298013225059,0.0056224089800496965
4,4,0.10782723447385292,-0.00890820441163841
4,5,0.12359563875898424,-0.07762731914606116
5,0,-0.04332072666727549,0.14942880163960665
5,1,-0.07671036395479112,0.08175562975302672
5,2,-0.06380881611604061,0.05840271119102926
5,3,-0.0024705132141492545,0.06134890586331788
5,4,0.0195511316578239,0.09570978567666598
5,5,-0.004627024015865698,0.14159803325310674
6,0,0.001941545021893032,-0.11529208221389348
6,1,-0.07150555042219263,-0.14864908892942974
6,2,-0.09767752806666014,-0.11030722978200957
6,3,-0.08241858895924503,-0.0624525228992755
6,4,-0.04539024763031772,-0.04968407684345359
6,5,0.003209561219690911,-0.10938826578617872
7,0,0.16086120799068004,0.06595348577629412
7,1,0.15182142110719127,0.01398170682200369
7,2,0.10782723447385292,-0.00890820441163841
7,3,0.06930298013225059,0.0056224089800496965
7,4,0.08541963121964398,0.08665022021159352
8,0,-0.17164103296131503,0.061795130493842367
8,1,-0.12898163934446608,-1.5451819665440215e-05
8,2,-0.07085069183560735,0.03432895830645026
8,3,-0.06380881611604061,0.05840271119102926
8,4,-0.07671036395479112,0.08175562975302672
8,5,-0.12414922392700409,0.09621208805809718
