# The 512 games of the Wright-Fisher maps (Figures 4 and 5, SI Figures 2-4, 6-12): the Fermat (sunflower) spiral of
# BinM2Ev kit ca6 on the K = 4 disk, one game per Voronoi cell.  Payoffs (R, S, T, P) = (1, u, 1 + v, 0).
# Every u and v is an exact multiple of 2^-10 (u = u1024/1024, v = v1024/1024), exact as a decimal and as a double,
# and clear of every line of the exact arrangement of the stability regions.  Rows in ipt order 0..511.
# Source: DiskM2WF/Ref/binm2ev_ca6_points.txt (a verbatim copy of BinM2Ev/cannon/ca6/points.txt, columns ipt u v);
# checked against rows 456-967 of games.dat, the file every memory-two Wright-Fisher kit read (and the 512-row
# games.dat of the memory-one kit): same gid, tag, cS = u and cT = 1 + v bit for bit.
# Columns:
#   ipt        cell index 0..511 (the point's index on the spiral; the order of every per-game array in this repository)
#   gid        the game id in the kits' games.dat and in every packed run (.idx/.win/.rep): gid = 2000 + ipt
#   ig         the 1-based row of the game in the 967-row games.dat of the memory-two kits: ig = 456 + ipt
#              (task decode of the kits: isl = 3*(ig - 1) + ie)
#   tag        V_pNNN_QQW: NNN = ipt, QQ = quadrant, W = wedge
#   u, v       the game: S = u, T = 1 + v (exact decimals)
#   u1024, v1024   1024 u and 1024 v, integers (the exact rational game)
#   emax       Emax = max(R, (S + T)/2) = max(1, (1 + u + v)/2), exact
#   quadrant   PD (u < 0 < v), SD (u, v > 0), SH (u, v < 0), HA (v < 0 < u)
#   wedge      W (u + v < 1, u - v < 1), S (u + v < 1, u - v > 1), N (u + v > 1, u - v < 1), E (u + v > 1, u - v > 1)
#   x, y       the point on the disk, (u, v)/sqrt(16 + u^2 + v^2), float64 written round-trip exact
#   cell_area  area of its Voronoi cell on the unit disk (cells.csv), shoelace formula, float64 round-trip exact
ipt,gid,ig,tag,u,v,u1024,v1024,emax,quadrant,wedge,x,y,cell_area
184,2184,640,V_p184_SHS,-1.537109375,-2.5517578125,-1574,-2613,1.0,SH,S,-0.30819844607172775,-0.5116407494189482,0.006065240641052683
185,2185,641,V_p185_SDE,2.869140625,0.8466796875,2938,867,2.35791015625,SD,E,0.5744162328658551,0.16950948737055696,0.0060672438513825755
186,2186,642,V_p186_PDW,-2.69921875,1.3193359375,-2764,1351,1.0,PD,W,-0.5395586235366276,0.2637278221410941,0.006064027507248493
187,2187,643,V_p187_HAS,1.103515625,-2.8076171875,1130,-2875,1.0,HA,S,0.22026101583661784,-0.5603986022391826,0.0060736173940202365
188,2188,644,V_p188_SDN,1.0869140625,2.828125,1113,2896,2.45751953125,SD,N,0.21660584074196004,0.5636033376358637,0.0060707023685865336
189,2189,645,V_p189_SHW,-2.72265625,-1.3564453125,-2788,-1389,1.0,SH,W,-0.5417987953848895,-0.2699277355773355,0.006074260277455612
190,2190,646,V_p190_HAE,2.9365234375,-0.8427734375,3007,-863,1.546875,HA,E,0.5834268532086386,-0.16744176066480052,0.006075095261729613
191,2191,647,V_p191_PDN,-1.6025390625,2.6162109375,-1641,2679,1.0068359375,PD,N,-0.317894705995272,0.5189761836449321,0.006071620728978933
192,2192,648,V_p192_SHS,-0.587890625,-3.0234375,-602,-3096,1.0,SH,S,-0.11644985895822689,-0.598884988928024,0.00607199062030353
193,2193,649,V_p193_SDN,2.486328125,1.83984375,2546,1884,2.6630859375,SD,N,0.4917221921965795,0.363866696817893,0.006072711529413244
194,2194,650,V_p194_PDW,-3.0888671875,0.32421875,-3163,332,1.0,PD,W,-0.6099406355531624,0.0640215905797186,0.006077998162289322
195,2195,651,V_p195_HAS,2.0673828125,-2.3349609375,2117,-2391,1.0,HA,S,0.4075996516574595,-0.46035463727585524,0.0060758966441096796
196,2196,652,V_p196_SDN,0.052734375,3.130859375,54,3206,2.091796875,SD,N,0.010381051732816024,0.6163268862112624,0.0060764993866892405
197,2197,653,V_p197_SHW,-2.1630859375,-2.2822265625,-2215,-2337,1.0,SH,W,-0.4251368276850075,-0.44855294189610045,0.006080890877934397
198,2198,654,V_p198_SDE,3.1494140625,0.22265625,3225,228,2.18603515625,SD,E,0.6180267796371017,0.043693056048762544,0.006081960787728685
199,2199,655,V_p199_PDW,-2.482421875,1.970703125,-2542,2018,1.0,PD,W,-0.4864120530857765,0.38614458030176907,0.00607562388349181
200,2200,656,V_p200_HAS,0.5009765625,-3.1435546875,513,-3219,1.0,HA,S,0.09799941704058202,-0.6149320145295,0.0060803519255343
201,2201,657,V_p201_SDN,1.7607421875,2.6669921875,1803,2731,2.7138671875,SD,N,0.3439037457762903,0.5209102216944254,0.006084965712816248
202,2202,658,V_p202_SHW,-3.1123046875,-0.7802734375,-3187,-799,1.0,SH,W,-0.6069365804547109,-0.15216263814976907,0.0060814489405298655
203,2203,659,V_p203_HAE,2.833984375,-1.533203125,2902,-1570,1.150390625,HA,E,0.5517497156232547,-0.2985000184453859,0.006077648567763383
204,2204,660,V_p204_PDN,-1.05859375,3.0576171875,-1084,3131,1.49951171875,PD,N,-0.2057573124923227,0.594304562189541,0.006078015381648205
205,2205,661,V_p205_SHS,-1.2900390625,-2.9814453125,-1321,-3053,1.0,SH,S,-0.25034809393998836,-0.5785864729740987,0.006082513941483347
206,2206,662,V_p206_SDE,2.9765625,1.33203125,3048,1364,2.654296875,SD,E,0.5767597173968579,0.25810375804767527,0.0060825384482380285
207,2207,663,V_p207_PDW,-3.107421875,1.033203125,-3182,1058,1.0,PD,W,-0.6011085491877983,0.1998657589694188,0.006084426321434855
208,2208,664,V_p208_HAS,1.599609375,-2.8720703125,1638,-2941,1.0,HA,S,0.3089480620768813,-0.5547107756826056,0.006088487784863816
209,2209,665,V_p209_SDN,0.763671875,3.2119140625,782,3289,2.48779296875,SD,N,0.14724277472650085,0.619285787820283,0.006081422504665257
210,2210,666,V_p210_SHW,-2.7431640625,-1.8603515625,-2809,-1905,1.0,SH,W,-0.5280604909453449,-0.35811863127478893,0.006086005968778729
211,2211,667,V_p211_HAE,3.2919921875,-0.4833984375,3371,-495,1.904296875,HA,E,0.632714162917969,-0.09290819063909661,0.0060852209493781895
212,2212,668,V_p212_PDW,-2.109375,2.5908203125,-2160,2653,1.0,PD,W,-0.4047384077175597,0.4971162017012435,0.006087428997847422
213,2213,669,V_p213_SHS,-0.1953125,-3.3486328125,-200,-3429,1.0,SH,S,-0.03741406730272928,-0.6414641839052936,0.006082882109887375
214,2214,670,V_p214_SDN,2.416015625,2.3466796875,2474,2403,2.88134765625,SD,N,0.46202813410568677,0.4487686363201153,0.006091524740986842
215,2215,671,V_p215_SHW,-3.3798828125,-0.0986328125,-3461,-101,1.0,SH,W,-0.6453009868354529,-0.01883137811915075,0.006085413174580133
216,2216,672,V_p216_HAS,2.5693359375,-2.21875,2631,-2272,1.0,HA,S,0.4897364677823522,-0.42291191744640977,0.006089775974182365
217,2217,673,V_p217_PDN,-0.3974609375,3.384765625,-407,3466,1.99365234375,PD,N,-0.0756353755736324,0.6441086283494101,0.006083520697263367
218,2218,674,V_p218_SHW,-2.0009765625,-2.775390625,-2049,-2842,1.0,SH,W,-0.38014527608811466,-0.5272683624413967,0.006086250916678915
219,2219,675,V_p219_SDE,3.36328125,0.697265625,3444,714,2.5302734375,SD,E,0.6379074287934853,0.1322491010913323,0.006086549017541354
220,2220,676,V_p220_PDW,-2.962890625,1.7646484375,-3034,1807,1.0,PD,W,-0.5610096133039676,0.3341280063415522,0.0060865828576419645
221,2221,677,V_p221_HAS,0.99609375,-3.31640625,1020,-3396,1.0,HA,S,0.18827511555441062,-0.6268453847282142,0.006090432008130642
222,2222,678,V_p222_SDN,1.5107421875,3.130859375,1547,3206,2.82080078125,SD,N,0.28507298458833347,0.5907847372916594,0.006091750872883828
223,2223,679,V_p223_SHW,-3.2412109375,-1.29296875,-3319,-1324,1.0,SH,W,-0.610602040225645,-0.24357851800504793,0.006091772033318399
224,2224,680,V_p224_HAE,3.2763671875,-1.2412109375,3355,-1271,1.517578125,HA,E,0.6161547892068043,-0.2334225743910129,0.006088774255263829
225,2225,681,V_p225_PDN,-1.5830078125,3.140625,-1621,3216,1.27880859375,PD,N,-0.29720607571063995,0.5896451199786663,0.006085568620436299
226,2226,682,V_p226_SHS,-0.9580078125,-3.3984375,-981,-3480,1.0,SH,S,-0.1795547948091896,-0.6369527889255655,0.006086076909271487
227,2227,683,V_p227_SDE,3.013671875,1.8662109375,3086,1911,2.93994140625,SD,E,0.5638702011941911,0.34917561713613066,0.006086177685808991
228,2228,684,V_p228_PDW,-3.4970703125,0.662109375,-3581,678,1.0,PD,W,-0.6531403321223301,0.12366074984053052,0.006087538031267464
229,2229,685,V_p229_HAS,2.1396484375,-2.861328125,2191,-2930,1.0,HA,S,0.39894039356374295,-0.5334985637342614,0.006093506285634764
230,2230,686,V_p230_SDN,0.3564453125,3.5693359375,365,3655,2.462890625,SD,N,0.0663422940263809,0.6643317388121155,0.006092966391420901
231,2231,687,V_p231_SHW,-2.6845703125,-2.400390625,-2749,-2458,1.0,SH,W,-0.49878063478596196,-0.4459813751560184,0.00608817987431387
232,2232,688,V_p232_HAE,3.615234375,-0.0439453125,3702,-45,2.28564453125,HA,E,0.6705020614005752,-0.008150349206652049,0.006091855154903321
233,2233,689,V_p233_PDW,-2.646484375,2.4833984375,-2710,2543,1.0,PD,W,-0.4899960496600453,0.4598007211385591,0.0060940662136166335
234,2234,690,V_p234_HAS,0.2744140625,-3.6328125,281,-3720,1.0,HA,S,0.05071956189194314,-0.6714475809182509,0.00609159051293115
235,2235,691,V_p235_SDN,2.2607421875,2.8759765625,2315,2945,3.068359375,SD,N,0.4170699594984633,0.5305706396211552,0.006094969707993503
236,2236,692,V_p236_SHW,-3.623046875,-0.595703125,-3710,-610,1.0,SH,W,-0.6672681728677105,-0.1097125567248796,0.006096244547938473
237,2237,693,V_p237_HAE,3.0859375,-2.015625,3160,-2064,1.03515625,HA,E,0.5673431323906877,-0.3705684257134112,0.006093720139728087
238,2238,694,V_p238_PDN,-0.91796875,3.5849609375,-940,3671,1.83349609375,PD,N,-0.16845700409058437,0.657878363847378,0.006091512423555101
239,2239,695,V_p239_SHS,-1.751953125,-3.2763671875,-1794,-3355,1.0,SH,S,-0.32091186553911183,-0.6001445422986177,0.006093046854861672
240,2240,696,V_p240_SDE,3.5185546875,1.2373046875,3603,1267,2.8779296875,SD,E,0.6433506591547616,0.22623516101834112,0.00609413950494786
241,2241,697,V_p241_PDW,-3.443359375,1.470703125,-3526,1506,1.0,PD,W,-0.628462312511567,0.26842434561611456,0.0060930552045854736
242,2242,698,V_p242_HAS,1.5517578125,-3.423828125,1589,-3506,1.0,HA,S,0.28269648024000416,-0.6237469224175296,0.006093266087953242
243,2243,699,V_p243_SDN,1.1728515625,3.5869140625,1201,3673,2.8798828125,SD,N,0.2132755877467619,0.6522574802613292,0.006087139843650113
244,2244,700,V_p244_SHW,-3.2998046875,-1.859375,-3379,-1904,1.0,SH,W,-0.5990148733954005,-0.3375330923186868,0.006092897909931949
245,2245,701,V_p245_HAE,3.7041015625,-0.861328125,3793,-882,1.92138671875,HA,E,0.6711226014144255,-0.156058564315192,0.006096077120827825
246,2246,702,V_p246_PDW,-2.158203125,3.1494140625,-2210,3225,1.0,PD,W,-0.390298936935349,0.5695538785595025,0.006093253169407342
247,2247,703,V_p247_SHS,-0.5380859375,-3.7939453125,-551,-3885,1.0,SH,S,-0.09714015377767109,-0.684917418196465,0.006097539032811183
248,2248,704,V_p248_SDN,2.9716796875,2.443359375,3043,2502,3.20751953125,SD,N,0.5354518170588204,0.4402564726523722,0.006095000469764078
249,2249,705,V_p249_PDW,-3.8564453125,0.2060546875,-3949,211,1.0,PD,W,-0.693593728732652,0.03705957882061017,0.006093344850379365
250,2250,706,V_p250_HAS,2.71484375,-2.767578125,2780,-2834,1.0,HA,S,0.4873656252298058,-0.4968324395328308,0.006096637425177187
251,2251,707,V_p251_PDN,-0.1328125,3.8896484375,-136,3983,2.37841796875,PD,N,-0.023797471288626817,0.6969509422250045,0.0060978717338503186
252,2252,708,V_p252_SHW,-2.5390625,-2.9697265625,-2600,-3041,1.0,SH,W,-0.4540842474945817,-0.5311039217811627,0.006094822572381586
253,2253,709,V_p253_SDE,3.8935546875,0.4765625,3987,488,2.68505859375,SD,E,0.6949798389382426,0.08506399834508711,0.006098220724322895
254,2254,710,V_p254_PDW,-3.205078125,2.2880859375,-3282,2343,1.0,PD,W,-0.570990845688307,0.4076269200023471,0.0060950833349705524
255,2255,711,V_p255_HAS,0.8212890625,-3.8671875,841,-3960,1.0,HA,S,0.14603226204935232,-0.6876192125034901,0.0060941557774040755
256,2256,712,V_p256_SDN,2.0146484375,3.4189453125,2063,3501,3.216796875,SD,N,0.35755356878137634,0.6067838314607845,0.006100418809534158
257,2257,713,V_p257_SHW,-3.8095703125,-1.1650390625,-3901,-1193,1.0,SH,W,-0.6748138608539594,-0.20637091412426908,0.006100796745473258
258,2258,714,V_p258_HAE,3.609375,-1.720703125,3696,-1762,1.4443359375,HA,E,0.6381689920415675,-0.30423532575141826,0.006096257990786613
259,2259,715,V_p259_PDN,-1.5048828125,3.7216796875,-1541,3811,1.6083984375,PD,N,-0.26554911079168425,0.6567213895049375,0.0060936035063953176
260,2260,716,V_p260_SHS,-1.4091796875,-3.775390625,-1443,-3866,1.0,SH,S,-0.2481836438812888,-0.6649188962197246,0.0060951293309721155
261,2261,717,V_p261_SDE,3.603515625,1.8388671875,3690,1883,3.22119140625,SD,E,0.6333981830707951,0.32322189125265777,0.006094514914017357
262,2262,718,V_p262_PDW,-3.9140625,1.08203125,-4008,1108,1.0,PD,W,-0.6866704787471162,0.1898280664799912,0.006097670727665039
263,2263,719,V_p263_HAS,2.1630859375,-3.4560546875,2215,-3539,1.0,HA,S,0.37871292736331286,-0.6050858013267558,0.006101768205345248
264,2264,720,V_p264_SDN,0.7421875,4.025390625,760,4122,2.8837890625,SD,N,0.1296813151449754,0.7033505013520904,0.006096238284666378
265,2265,721,V_p265_SHW,-3.2783203125,-2.4765625,-3357,-2536,1.0,SH,W,-0.5717162734160339,-0.43189528429641405,0.006095318324311871
266,2266,722,V_p266_HAE,4.1064453125,-0.3896484375,4205,-399,2.3583984375,HA,E,0.7146810072840181,-0.06781396478152751,0.006095611621398156
267,2267,723,V_p267_PDW,-2.775390625,3.0732421875,-2842,3147,1.0,PD,W,-0.4820565656414202,0.5337902927774628,0.0061021653426936995
268,2268,724,V_p268_SHS,-0.0302734375,-4.1572265625,-31,-4257,1.0,SH,S,-0.005247441120003247,-0.7205921563823814,0.006093897954330121
269,2269,725,V_p269_SDN,2.8408203125,3.056640625,2909,3130,3.44873046875,SD,N,0.49145527611911904,0.5287916858895987,0.006097209917717117
270,2270,726,V_p270_SHW,-4.17578125,-0.3359375,-4276,-344,1.0,SH,W,-0.7209272771570743,-0.05799789133349709,0.006097316334319591
271,2271,727,V_p271_HAS,3.3193359375,-2.5830078125,3399,-2645,1.0,HA,S,0.57187513686311,-0.4450161038549355,0.006100091677609054
272,2272,728,V_p272_PDN,-0.705078125,4.162109375,-722,4262,2.228515625,PD,N,-0.12124074037906393,0.7156897998553607,0.006097042956380527
273,2273,729,V_p273_SHS,-2.30078125,-3.5595703125,-2356,-3645,1.0,SH,S,-0.39478900522159294,-0.6107834991649856,0.006099977692619385
274,2274,730,V_p274_SDE,4.1162109375,1.0751953125,4215,1101,3.095703125,SD,E,0.7048963938967465,0.18412596196448824,0.006101644720077126
275,2275,731,V_p275_PDW,-3.7763671875,1.99609375,-3867,2044,1.0,PD,W,-0.6453175526394611,0.3410988046534933,0.006097510860477273
276,2276,732,V_p276_HAS,1.4423828125,-4.0380859375,1477,-4135,1.0,HA,S,0.2459721181659919,-0.6886220098959895,0.00609875988332631
277,2277,733,V_p277_SDN,1.6708984375,3.966796875,1711,4062,3.31884765625,SD,N,0.2843598305037411,0.6750845303952052,0.0060968837076917914
278,2278,734,V_p278_SHW,-3.9267578125,-1.8037109375,-4021,-1847,1.0,SH,W,-0.6668676633144813,-0.3063179741710637,0.0061023838281072385
279,2279,735,V_p279_HAE,4.1298828125,-1.328125,4229,-1360,1.90087890625,HA,E,0.6998811433926758,-0.22507409671649067,0.006099312777607668
280,2280,736,V_p280_PDN,-2.15625,3.783203125,-2208,3874,1.3134765625,PD,N,-0.3646705819213977,0.6398251061428871,0.0061023482914677185
281,2281,737,V_p281_SHS,-0.9697265625,-4.263671875,-993,-4366,1.0,SH,S,-0.16363513818705258,-0.7194672843148757,0.006103911498598125
282,2282,738,V_p282_SDE,3.6083984375,2.498046875,3695,2558,3.55322265625,SD,E,0.6076710464560798,0.42068268926512914,0.006101118242494041
283,2283,739,V_p283_PDW,-4.365234375,0.59765625,-4470,612,1.0,PD,W,-0.7335496135064816,0.10043229607739748,0.006101589545924824
284,2284,740,V_p284_HAS,2.826171875,-3.4033203125,2894,-3485,1.0,HA,S,0.4738682759557143,-0.5706395790275274,0.006102496094533616
285,2285,741,V_p285_SDN,0.2158203125,4.435546875,221,4542,2.82568359375,SD,N,0.03611042611243514,0.7421427846275132,0.006100055336812571
286,2286,742,V_p286_SHW,-3.1669921875,-3.1376953125,-3243,-3213,1.0,SH,W,-0.5287510104626378,-0.5238596967673312,0.0061009604507472615
287,2287,743,V_p287_SDE,4.47265625,0.1748046875,4580,179,2.82373046875,SD,E,0.7450784270308686,0.02911987738832434,0.006100243765549865
288,2288,744,V_p288_PDW,-3.4296875,2.9033203125,-3512,2973,1.0,PD,W,-0.5700961496730509,0.482601324879835,0.006097385891249307
289,2289,745,V_p289_HAS,0.5693359375,-4.474609375,583,-4582,1.0,HA,S,0.09443623389663797,-0.7422072447931307,0.006104584006504543
290,2290,746,V_p290_SDN,2.61328125,3.69921875,2676,3788,3.65625,SD,N,0.43247366688396666,0.612186192136198,0.006100486675831407
291,2291,747,V_p291_SHW,-4.4423828125,-0.9658203125,-4549,-989,1.0,SH,W,-0.7336262999173638,-0.15949800189454227,0.006100765400004815
292,2292,748,V_p292_HAE,3.9443359375,-2.2978515625,4039,-2353,1.3232421875,HA,E,0.6498698941086559,-0.3785946672041761,0.006104747141014832
293,2293,749,V_p293_PDN,-1.361328125,4.3759765625,-1394,4481,2.00732421875,PD,N,-0.22379375202262466,0.7193829288474757,0.0060998565341994215
294,2294,750,V_p294_SHS,-1.9599609375,-4.162109375,-2007,-4262,1.0,SH,S,-0.3215012580350194,-0.6827296271775051,0.0061004098564356735
295,2295,751,V_p295_SDE,4.2734375,1.7529296875,4376,1795,3.51318359375,SD,E,0.6993894890770991,0.2868839426173201,0.006099759503235158
296,2296,752,V_p296_PDW,-4.3525390625,1.6005859375,-4457,1639,1.0,PD,W,-0.7107053295599226,0.2613520383999805,0.00610578537947859
297,2297,753,V_p297_HAS,2.13671875,-4.1376953125,2188,-4237,1.0,HA,S,0.3480621698887021,-0.6740125291674729,0.006095712248414098
298,2298,754,V_p298_SDN,1.2236328125,4.5107421875,1253,4619,3.3671875,SD,N,0.1989079687315995,0.7332449382053137,0.006093726121659482
299,2299,755,V_p299_SHW,-3.96484375,-2.509765625,-4060,-2570,1.0,SH,W,-0.6430226180211942,-0.4070364848065195,0.006101655392709571
300,2300,756,V_p300_HAE,4.6376953125,-0.8310546875,4749,-851,2.4033203125,HA,E,0.7503725817005739,-0.13446348010679898,0.006099396831271753
301,2301,757,V_p301_PDW,-2.869140625,3.7607421875,-2938,3851,1.0,PD,W,-0.46315546549307307,0.6070836275064072,0.006101202182756671
302,2302,758,V_p302_SHS,-0.42578125,-4.7294921875,-436,-4843,1.0,SH,S,-0.06857689223890868,-0.7617382777821898,0.006096237173893709
303,2303,759,V_p303_SDN,3.5234375,3.212890625,3608,3290,3.8681640625,SD,N,0.566111558528635,0.5162159167292708,0.006098513738446609
304,2304,760,V_p304_PDW,-4.787109375,0.0107421875,-4902,11,1.0,PD,W,-0.7673725978095527,0.0017219703337219665,0.006095472424071154
305,2305,761,V_p305_HAS,3.5361328125,-3.2548828125,3621,-3333,1.0,HA,S,0.5655207369359678,-0.5205414571133887,0.00609659434854759
306,2306,762,V_p306_PDN,-0.4111328125,4.8076171875,-421,4923,2.6982421875,PD,N,-0.06559702825132466,0.7670645370101455,0.006093714468880157
307,2307,763,V_p307_SHW,-2.95703125,-3.837890625,-3028,-3930,1.0,SH,W,-0.47065582273456685,-0.6108577884236617,0.006088831902486325
308,2308,764,V_p308_SDE,4.7919921875,0.8359375,4907,856,3.31396484375,SD,E,0.7609023095326577,0.13273535295699102,0.006096516688434361
309,2309,765,V_p309_PDW,-4.1142578125,2.630859375,-4213,2694,1.0,PD,W,-0.6517563995988606,0.4167651888249063,0.006092874442951257
310,2310,766,V_p310_HAS,1.26171875,-4.73828125,1292,-4852,1.0,HA,S,0.19938750250092693,-0.7487834072248432,0.0060902839774056305
311,2311,767,V_p311_SDN,2.279296875,4.3642578125,2334,4469,3.82177734375,SD,N,0.35930349177890253,0.6879722813881386,0.006094007540603186
312,2312,768,V_p312_SHW,-4.6474609375,-1.6845703125,-4759,-1725,1.0,SH,W,-0.7308496690299428,-0.2649118888583003,0.0060940058120515506
313,2313,769,V_p313_HAE,4.5830078125,-1.904296875,4693,-1950,1.83935546875,HA,E,0.7189944608759898,-0.29875116102880467,0.006093567375028086
314,2314,770,V_p314_PDN,-2.1015625,4.5185546875,-2152,4627,1.70849609375,PD,N,-0.32887576585547984,0.7071134612515358,0.006093512192013595
315,2315,771,V_p315_SHS,-1.5087890625,-4.7705078125,-1545,-4885,1.0,SH,S,-0.23553507984072666,-0.744717711988317,0.006089033733512883
316,2316,772,V_p316_SDE,4.3525390625,2.5087890625,4457,2569,3.9306640625,SD,E,0.6777829217734992,0.3906718254512272,0.006085145447803253
317,2317,773,V_p317_PDW,-4.9248046875,1.0947265625,-5043,1121,1.0,PD,W,-0.7649192650693056,0.17003261870765252,0.006087144134117262
318,2318,774,V_p318_HAS,2.9033203125,-4.150390625,2973,-4250,1.0,HA,S,0.4498433708981596,-0.6430657000730503,0.006083807089671378
319,2319,775,V_p319_SDN,0.6650390625,5.0419921875,681,5163,3.353515625,SD,N,0.10278434924952858,0.7792593174380558,0.0060844981690896804
320,2320,776,V_p320_SHW,-3.912109375,-3.2822265625,-4006,-3361,1.0,SH,W,-0.6030946158556293,-0.5059912640765777,0.00608540025195814
321,2321,777,V_p321_HAE,5.123046875,-0.2236328125,5246,-229,2.94970703125,HA,E,0.7877358797242328,-0.034386488077935436,0.006080677582957633
322,2322,778,V_p322_PDW,-3.6416015625,3.640625,-3729,3728,1.0,PD,W,-0.5584949223755533,0.5583451516803601,0.00608267206677926
323,2323,779,V_p323_HAS,0.2265625,-5.1650390625,232,-5289,1.0,HA,S,0.034659865389194085,-0.790155293290722,0.006082679214204523
324,2324,780,V_p324_SDN,3.3359375,3.978515625,3416,4074,4.1572265625,SD,N,0.5089798647213254,0.6070210681717446,0.006079259593228525
325,2325,781,V_p325_SHW,-5.16796875,-0.68359375,-5292,-700,1.0,SH,W,-0.7865071820004255,-0.10403534153444782,0.006078272243690064
326,2326,782,V_p326_HAE,4.2900390625,-3.0,4393,-3072,1.14501953125,HA,E,0.6511697123764083,-0.4553592889643356,0.006076287722325713
327,2327,783,V_p327_PDN,-1.1416015625,5.130859375,-1169,5254,2.49462890625,PD,N,-0.17283315750930903,0.7767882032112143,0.006077519020381006
328,2328,784,V_p328_SHS,-2.634765625,-4.57421875,-2698,-4684,1.0,SH,S,-0.3978145008709771,-0.6906460793475376,0.006075301826504509
329,2329,785,V_p329_SDE,5.0537109375,1.599609375,5175,1638,3.82666015625,SD,E,0.7610221290942725,0.2408800478176654,0.006072675281080575
330,2330,786,V_p330_PDW,-4.8271484375,2.244140625,-4943,2298,1.0,PD,W,-0.7249447518061164,0.3370267124520444,0.006075219406255661
331,2331,787,V_p331_HAS,2.052734375,-4.935546875,2102,-5054,1.0,HA,S,0.30746462753729414,-0.7392608123565578,0.0060697922176153885
332,2332,788,V_p332_SDN,1.828125,5.046875,1872,5168,3.9375,SD,N,0.2730888290027648,0.7539118954520772,0.006071721779240646
333,2333,789,V_p333_SHW,-4.77734375,-2.4970703125,-4892,-2557,1.0,SH,W,-0.7117029018967501,-0.3720000654435793,0.006067606370992129
334,2334,790,V_p334_HAE,5.2314453125,-1.3916015625,5357,-1425,2.419921875,HA,E,0.7772319760238124,-0.20674921893483902,0.0060682243785546985
335,2335,791,V_p335_PDN,-2.9296875,4.580078125,-3000,4690,1.3251953125,PD,N,-0.4340388070106567,0.6785473349599933,0.006066801345251949
336,2336,792,V_p336_SHS,-0.9375,-5.37890625,-960,-5508,1.0,SH,S,-0.13851086356582787,-0.7947060797089374,0.00606492376954898
337,2337,793,V_p337_SDN,4.3427734375,3.34765625,4447,3428,4.34521484375,SD,N,0.6398447959724217,0.4932286846398609,0.006067897740817396
338,2338,794,V_p338_PDW,-5.486328125,0.466796875,-5618,478,1.0,PD,W,-0.8061359813481885,0.06858899948103135,0.006065694134399835
339,2339,795,V_p339_HAS,3.74609375,-4.068359375,3836,-4166,1.0,HA,S,0.5488538069367199,-0.5960701146241854,0.006061220968987757
340,2340,796,V_p340_PDN,-0.0146484375,5.5537109375,-15,5687,3.26953125,PD,N,-0.002140250899501683,0.8114404576977381,0.00606455825627724
341,2341,797,V_p341_SHW,-3.7568359375,-4.123046875,-3847,-4222,1.0,SH,W,-0.5473313453248898,-0.6006844138189978,0.006055763714198026
342,2342,798,V_p342_SDE,5.5791015625,0.50390625,5713,516,3.54150390625,SD,E,0.8105230756658908,0.07320670524130923,0.006056107462144827
343,2343,799,V_p343_PDW,-4.4736328125,3.412109375,-4581,3494,1.0,PD,W,-0.6480404040865793,0.4942705024838481,0.006052346298534905
344,2344,800,V_p344_HAS,0.9990234375,-5.5615234375,1023,-5695,1.0,HA,S,0.1443039925556444,-0.8033345431128006,0.006057428884335525
345,2345,801,V_p345_SDN,3.0341796875,4.796875,3107,4912,4.41552734375,SD,N,0.4369628886549082,0.6908148403839424,0.006053200924984514
346,2346,802,V_p346_SHW,-5.5009765625,-1.494140625,-5633,-1530,1.0,SH,W,-0.7899495858391687,-0.2145611337358296,0.006052539380932975
347,2347,803,V_p347_HAE,5.087890625,-2.6259765625,5210,-2689,1.73095703125,HA,E,0.7284609179604682,-0.37597531831011494,0.0060537323958759215
348,2348,804,V_p348_PDN,-1.986328125,5.396484375,-2034,5526,2.205078125,PD,N,-0.2835657903373332,0.7703955542793035,0.006052133122221526
349,2349,805,V_p349_SHS,-2.1904296875,-5.3447265625,-2243,-5473,1.0,SH,S,-0.31176242761788137,-0.7607114428678845,0.006051203513134595
350,2350,806,V_p350_SDE,5.248046875,2.47265625,5374,2532,4.3603515625,SD,E,0.7447520892897549,0.3508954763828916,0.006048978828942286
351,2351,807,V_p351_PDW,-5.564453125,1.7294921875,-5698,1771,1.0,PD,W,-0.7872925258890586,0.24469902831686957,0.006042917389125713
352,2352,808,V_p352_HAS,2.9482421875,-5.056640625,3019,-5178,1.0,HA,S,0.41585733786139106,-0.7132524993197359,0.0060464270602921255
353,2353,809,V_p353_SDN,1.248046875,5.7451171875,1278,5883,3.99658203125,SD,N,0.175513375234433,0.8079383305979416,0.006050105350074664
354,2354,810,V_p354_SHW,-4.822265625,-3.4091796875,-4938,-3491,1.0,SH,W,-0.6760696504971533,-0.47795851557018265,0.00604944155180287
355,2355,811,V_p355_HAE,5.884765625,-0.7470703125,6026,-765,3.06884765625,HA,E,0.8225127285135012,-0.10441789533900239,0.006045212319644777
356,2356,812,V_p356_PDW,-3.8525390625,4.546875,-3945,4656,1.0,PD,W,-0.5367541832096788,0.6334923896132483,0.006045483074628377
357,2357,813,V_p357_SHS,-0.232421875,-5.9814453125,-238,-6125,1.0,SH,S,-0.03228339801421559,-0.8308227430129013,0.006046338347922758
