# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
56,9,CDDC,1,451444,33380417
56,15,CCCC,1,25302280342,26082756149
58,0,DDDD,0,538524,48715944
58,1,CDDD,0,669965,69889386
58,8,DDDC,0,817300,84893180
58,9,CDDC,1,49985268298,4912754564
58,15,CCCC,1,353289,9766686071
59,15,CCCC,1,24554648886,42802612061
60,0,DDDD,0,15866431127,8795080413
61,0,DDDD,0,350403,31388969
61,1,CDDD,0,407020,31657759
61,8,DDDC,0,366085,31378349
61,9,CDDC,1,9997614307,34639962
61,14,DCCC,0,485352,35867465
61,15,CCCC,1,19159451520,29562746830
63,0,DDDD,0,2217949330,102450779
63,1,CDDD,0,1998682810,107299301
63,9,CDDC,1,44740420301,48054820190
64,9,CDDC,1,465176,34385213
64,15,CCCC,1,25381643365,26199983320
66,0,DDDD,0,449131,11960575961
66,1,CDDD,0,577010,31772115480
66,8,DDDC,0,4998950782,32491617
66,9,CDDC,1,4999310438,4850047950
66,14,DCCC,0,762801,31475337
66,15,CCCC,1,19645103763,32247096
67,15,CCCC,0,1071720322,4356164582
68,0,DDDD,0,19370926826,6598847207
68,1,CDDD,0,18728863948,4716685650
69,0,DDDD,0,335849,31367225
69,8,DDDC,0,331189,31352047
69,9,CDDC,1,411653,32416396
69,14,DCCC,0,451679,32183443
69,15,CCCC,1,24790512490,25592756303
71,0,DDDD,0,710118,46452275
71,1,CDDD,0,900764,68867859
71,8,DDDC,0,1113620,76372107
71,9,CDDC,1,49984344451,48188041882
71,15,CCCC,1,344174,31636547
72,15,CCCC,1,25198694532,40994787743
73,0,DDDD,0,15462923436,11479606067
74,0,DDDD,0,352475,31448878
74,1,CDDD,0,412189,31795820
74,8,DDDC,0,369920,31420032
74,9,CDDC,1,9997718871,34776520
74,14,DCCC,0,491483,37955162
74,15,CCCC,1,20132989449,25064927896
76,0,DDDD,0,16853252850,115805134
76,1,CDDD,0,15593827421,121651063
76,9,CDDC,1,8102713264,47973048617
77,8,DDDC,0,329432,31363673
77,9,CDDC,1,405341,32256641
77,15,CCCC,1,25023575242,26016494385
79,0,DDDD,0,544645,14351113984
79,1,CDDD,0,626576,34286315357
79,8,DDDC,0,9997587138,31669503
79,9,CDDC,1,38596074171,31892867
79,14,DCCC,0,352937,31474632
79,15,CCCC,1,633092956,32190441
80,15,CCCC,1,22458782305,30334765774
81,0,DDDD,0,17126030362,5369148897
81,1,CDDD,0,16628361226,3763779851
82,0,DDDD,0,334019,31373028
82,1,CDDD,0,367066,31519710
82,8,DDDC,0,337368,31354995
82,9,CDDC,1,4998983905,32259875
82,14,DCCC,0,423464,31855288
82,15,CCCC,1,22413328863,28266711661
84,0,DDDD,0,1107394163,95050854
84,1,CDDD,0,870558466,101412727
84,9,CDDC,1,47685983582,48136503752
85,15,CCCC,1,25076883158,38839994288
87,0,DDDD,0,10383315795,560265114
87,1,CDDD,0,9604587835,14036229588
87,6,DCCD,0,384524,32680010
87,8,DDDC,0,458946,32836439
87,9,CDDC,1,24993952043,24107786599
87,14,DCCC,0,358780,33047790
87,15,CCCC,1,2236578965,3418764044
88,15,CCCC,0,149794485,884673533
89,0,DDDD,0,20223574886,5261402824
89,1,CDDD,0,19297641185,3525825970
90,8,DDDC,0,324515,31358340
90,9,CDDC,1,376723,32034695
90,15,CCCC,1,25205278607,26152974588
92,0,DDDD,0,560976,14584026746
92,1,CDDD,0,702609,34023131433
92,8,DDDC,0,862548,31673150
92,9,CDDC,1,49985991581,31934898
92,15,CCCC,1,336830,32230356
93,15,CCCC,1,24912751421,31725150686
94,0,DDDD,0,14879060464,10622035097
95,0,DDDD,0,334337,31381337
95,1,CDDD,0,368902,31558827
95,8,DDDC,0,337855,31366254
95,9,CDDC,1,4999093965,32403587
95,14,DCCC,0,422662,31982353
95,15,CCCC,1,23147776608,28925312631
97,0,DDDD,0,14956581879,110154756
97,1,CDDD,0,14529205722,112009847
97,9,CDDC,1,8100535623,48057586846
98,9,CDDC,1,381409,32075971
98,15,CCCC,1,25034964533,26120063686
100,0,DDDD,0,14765846852,8076665049
100,1,CDDD,0,15217088979,40573392303
100,8,DDDC,0,446682,31644220
100,9,CDDC,1,14996582379,31845815
100,14,DCCC,0,372887,31448820
100,15,CCCC,1,2305845465,32252619
101,15,CCCC,0,364919713,4660387150
102,0,DDDD,0,19114042298,5086915184
102,1,CDDD,0,18000079615,2956488196
103,0,DDDD,0,325120,31379209
103,8,DDDC,0,322236,31352367
103,9,CDDC,1,363686,31903109
103,14,DCCC,0,384804,31662932
103,15,CCCC,1,25219337843,26143656696
105,0,DDDD,0,157700758,69138095
105,1,CDDD,0,128242482,75558500
105,9,CDDC,1,49679862406,48222073340
106,15,CCCC,1,25064582509,39889738860
107,0,DDDD,0,15833578505,4992349281
108,0,DDDD,0,346940,31445709
