# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
246,0,DDDD,0,17251898788,4071959857
246,1,CDDD,0,17068007741,1517230837
247,0,DDDD,0,316365,31392129
247,1,CDDD,0,319528,31496927
247,8,DDDC,0,316428,31387618
247,9,CDDC,1,320835,31597200
247,14,DCCC,0,323468,31563698
247,15,CCCC,1,25059156080,29141366504
249,0,DDDD,0,25118993812,14910621410
249,1,CDDD,0,24860408992,33841470197
249,9,CDDC,1,340031,31687044
250,15,CCCC,1,25766815416,30535050346
251,0,DDDD,0,10949261738,9797072886
252,0,DDDD,0,319352,31432954
252,1,CDDD,0,327880,31608329
252,6,DCCD,0,333982,31817478
252,8,DDDC,0,323293,31384066
252,9,CDDC,1,9998209370,31766548
252,14,DCCC,0,331268,31781105
252,15,CCCC,1,20145914706,25945234794
254,0,DDDD,0,21598130027,4375681103
254,1,CDDD,0,20673944459,737345960
255,9,CDDC,1,320344,31586860
255,15,CCCC,1,25067053252,26608461769
257,0,DDDD,0,25766273290,1827562541
257,1,CDDD,0,24216473476,46797954484
257,6,DCCD,0,324394,31625627
257,8,DDDC,0,328282,31615920
257,9,CDDC,1,341376,31672855
257,14,DCCC,0,316531,31442669
257,15,CCCC,1,320329,31770753
258,15,CCCC,0,2548246619,3782295275
259,0,DDDD,0,12546259063,7521229322
259,1,CDDD,0,11864986403,1086832368
260,0,DDDD,0,317628,31415546
260,1,CDDD,0,319173,31517630
260,6,DCCD,0,325327,31622025
260,8,DDDC,0,317930,31365779
260,9,CDDC,1,4999249420,31566582
260,14,DCCC,0,324342,31584542
260,15,CCCC,1,23044059168,18490018940
262,0,DDDD,0,24887876900,15059640818
262,1,CDDD,0,25086545711,33694169909
263,15,CCCC,1,24835795261,30583226955
265,0,DDDD,0,20544014252,14170139231
265,1,CDDD,0,19443027089,34348529789
265,6,DCCD,0,331466,31622707
265,8,DDDC,0,338279,31573067
265,9,CDDC,1,4999299689,31692242
265,14,DCCC,0,320699,31430674
265,15,CCCC,1,2756253368,31805620
266,15,CCCC,0,530219426,409979199
267,0,DDDD,0,20313509817,2452605804
267,1,CDDD,0,20012887569,1723505204
268,0,DDDD,0,316349,31410166
268,8,DDDC,0,315165,31380144
268,9,CDDC,1,319167,31574500
268,14,DCCC,0,321666,31561120
268,15,CCCC,1,25542232545,25674752951
270,0,DDDD,0,25143829368,14462049370
270,1,CDDD,0,24838217123,34302051171
270,8,DDDC,0,325529,31682838
270,9,CDDC,1,335266,31687486
270,15,CCCC,1,319012,31703878
271,15,CCCC,1,24684366040,35311775577
272,0,DDDD,0,10724492094,8957684748
272,1,CDDD,0,9559148320,923781582
273,0,DDDD,0,317447,31412231
273,1,CDDD,0,321347,31541584
273,6,DCCD,0,327272,31699626
273,8,DDDC,0,317694,31365741
273,9,CDDC,1,4999277989,31646569
273,14,DCCC,0,324329,31648402
273,15,CCCC,1,22658548723,24296212596
275,0,DDDD,0,23539778164,6340223642
275,1,CDDD,0,24009695844,1519460013
276,15,CCCC,1,24449596285,39502985737
278,0,DDDD,0,24886738392,14003425739
278,1,CDDD,0,25096958240,34480324172
278,6,DCCD,0,324628,31674747
278,8,DDDC,0,328826,31607657
278,9,CDDC,1,339004,31656106
278,14,DCCC,0,316448,31463010
278,15,CCCC,1,319903,31782220
279,15,CCCC,0,3311802091,4708374174
280,0,DDDD,0,14789702811,6789240054
280,1,CDDD,0,14355610256,1292267221
281,0,DDDD,0,316117,31416480
281,1,CDDD,0,318804,31498785
281,8,DDDC,0,315099,31373764
281,9,CDDC,1,318810,31583427
281,14,DCCC,0,320775,31559319
281,15,CCCC,1,24560358251,27130551361
283,0,DDDD,0,24954802750,15039470793
283,1,CDDD,0,25025203091,33731228196
283,9,CDDC,1,333274,31724662
284,15,CCCC,1,24935609305,30619714693
286,0,DDDD,0,5165704311,31469598
286,1,CDDD,0,4831640168,31673487
286,6,DCCD,0,334824,31879995
286,8,DDDC,0,321815,31414526
286,9,CDDC,1,333592,31762122
286,14,DCCC,0,328107,31812057
286,15,CCCC,1,20849893934,18585370861
288,0,DDDD,0,21239655701,2539954384
288,1,CDDD,0,20758974489,804729654
289,9,CDDC,1,317965,31574474
289,15,CCCC,1,25288679527,26530400353
291,0,DDDD,0,24304861800,5202987081
291,1,CDDD,0,25678532816,43540780358
291,8,DDDC,0,323580,31663029
291,9,CDDC,1,331015,31692655
291,14,DCCC,0,315636,31450470
291,15,CCCC,1,318156,31709939
292,15,CCCC,0,961518944,2757556837
293,0,DDDD,0,11185675596,8552955032
293,1,CDDD,0,10436576759,866667360
294,0,DDDD,0,315847,31413413
294,1,CDDD,0,317818,31518095
294,6,DCCD,0,323780,31645688
294,8,DDDC,0,315165,31379633
294,9,CDDC,1,318755,31606645
294,14,DCCC,0,321341,31578290
294,15,CCCC,1,25427759404,26005262608
296,0,DDDD,0,24841470573,15261105984
296,1,CDDD,0,25132087134,33509697698
297,15,CCCC,1,24580093553,30764398700
299,0,DDDD,0,22276405835,14175800519
299,1,CDDD,0,22709584865,34377379649
299,6,DCCD,0,326691,31622270
299,8,DDDC,0,328376,31574793
299,9,CDDC,1,339452,31697470
299,14,DCCC,0,319509,31431891
299,15,CCCC,1,2576045597,31782288
300,15,CCCC,0,1224405883,760911590
301,0,DDDD,0,17997820505,2826064530
301,1,CDDD,0,17763792317,2050780027
302,0,DDDD,0,315806,31403079
302,8,DDDC,0,315412,31382065
302,9,CDDC,1,317753,31580690
302,14,DCCC,0,319392,31553034
302,15,CCCC,1,24869305621,26805256377
304,0,DDDD,0,25101323587,14838353301
304,1,CDDD,0,24881259769,33948127524
304,9,CDDC,1,329550,31690283
305,15,CCCC,1,25044324744,34267717211
306,0,DDDD,0,9771952264,9684201245
307,0,DDDD,0,317122,31438766
307,1,CDDD,0,320579,31581260
307,6,DCCD,0,323227,31783235
307,8,DDDC,0,320104,31391444
307,9,CDDC,1,14997304257,31709543
307,14,DCCC,0,320349,31737263
307,15,CCCC,1,17554842203,24363238518
309,0,DDDD,0,23438254312,6048181558
309,1,CDDD,0,23073774915,1093223654
310,15,CCCC,1,24613826435,41094215708
312,0,DDDD,0,24479552562,12855700247
312,1,CDDD,0,25504745488,35665595707
312,6,DCCD,0,320494,31663641
312,8,DDDC,0,322189,31617376
312,9,CDDC,1,329856,31653700
312,14,DCCC,0,315845,31459252
312,15,CCCC,1,317556,31768977
313,15,CCCC,0,4877610465,4476911712
314,0,DDDD,0,12095605961,7120500026
314,1,CDDD,0,11773696171,1192292943
315,0,DDDD,0,315500,31415911
315,1,CDDD,0,316448,31500124
315,6,DCCD,0,319762,31612331
315,8,DDDC,0,316216,31387217
315,9,CDDC,1,317945,31586685
315,14,DCCC,0,318503,31575492
315,15,CCCC,1,25390552675,22434116815
317,0,DDDD,0,24834745778,15118007527
317,1,CDDD,0,25145520066,33672774075
318,15,CCCC,1,24526867401,31052115224
320,0,DDDD,0,12410508341,12794632849
320,1,CDDD,0,12582177240,30903913290
320,6,DCCD,0,326779,31678945
320,8,DDDC,0,325668,31631734
320,9,CDDC,1,4999333220,31738377
320,14,DCCC,0,321808,31475429
320,15,CCCC,1,9757653678,2330076074
321,15,CCCC,0,478623812,348534449
322,0,DDDD,0,20970496549,1558897015
322,1,CDDD,0,20573823785,1322450541
323,8,DDDC,0,316388,31381397
323,9,CDDC,1,316868,31570017
323,15,CCCC,1,26331464231,26498221369
325,0,DDDD,0,24850948179,14239955057
325,1,CDDD,0,25133060091,34558333002
325,8,DDDC,0,320542,31680982
325,9,CDDC,1,325257,31689208
325,14,DCCC,0,315084,31463831
325,15,CCCC,1,317614,31698612
326,15,CCCC,0,1091772843,1918106455
327,0,DDDD,0,10209052210,8125012070
327,1,CDDD,0,9561329195,1022805942
328,0,DDDD,0,317194,31416008
328,1,CDDD,0,318505,31541253
328,6,DCCD,0,321484,31659456
328,8,DDDC,0,315452,31389003
328,9,CDDC,1,318792,31639825
328,14,DCCC,0,321013,31635740
328,15,CCCC,1,25798513182,26454862309
330,0,DDDD,0,24524684999,15244999731
330,1,CDDD,0,25446823207,33542865710
331,15,CCCC,1,24826060681,30693109342
333,0,DDDD,0,22299738551,14317207248
333,1,CDDD,0,22686749047,34275141528
333,6,DCCD,0,320520,31608659
333,8,DDDC,0,4999316757,31560163
333,9,CDDC,1,328714,31641478
333,14,DCCC,0,317284,31421290
333,15,CCCC,1,317946,31779483
334,15,CCCC,0,2947967871,2229155039
335,0,DDDD,0,14778355230,4239772617
335,1,CDDD,0,14714289865,1711960506
336,0,DDDD,0,316269,31425531
336,1,CDDD,0,316697,31497894
336,8,DDDC,0,315509,31386946
336,9,CDDC,1,317268,31590599
336,14,DCCC,0,317546,31547098
336,15,CCCC,1,25740533627,29138448975
338,0,DDDD,0,24700077453,14897405127
338,1,CDDD,0,25282910101,33912766308
338,9,CDDC,1,323610,31687090
339,15,CCCC,1,25879144241,33874924684
340,0,DDDD,0,10201335637,427389082
341,0,DDDD,0,317800,31462211
341,1,CDDD,0,319527,31634595
341,6,DCCD,0,322471,31810796
341,8,DDDC,0,318513,31399198
341,9,CDDC,1,9998347383,31713969
341,14,DCCC,0,320812,31754369
341,15,CCCC,1,19188991312,23170038507
343,0,DDDD,0,22780128664,4733964517
343,1,CDDD,0,22360652590,1329549082
344,9,CDDC,1,318199,31599212
344,15,CCCC,1,25102960049,36428379061
346,0,DDDD,0,23488089048,3010856480
346,1,CDDD,0,26496772168,45623967659
346,6,DCCD,0,317709,31642422
346,8,DDDC,0,319916,31608281
346,9,CDDC,1,323748,31654905
346,14,DCCC,0,315600,31453686
346,15,CCCC,1,317561,31749930
347,15,CCCC,0,5226670825,3340229819
348,0,DDDD,0,10739793821,7516497905
348,1,CDDD,0,10261335598,1064936095
349,0,DDDD,0,316119,31425236
349,1,CDDD,0,316052,31514266
349,6,DCCD,0,318823,31611491
349,8,DDDC,0,314929,31387067
349,9,CDDC,1,315774,31582522
349,14,DCCC,0,318370,31576321
349,15,CCCC,1,24811032306,24334532186
351,0,DDDD,0,25244160980,15344807183
351,1,CDDD,0,24736208790,33467867777
352,15,CCCC,1,26557417641,32157093283
354,0,DDDD,0,14889291657,14379946705
354,1,CDDD,0,15102173905,34210495513
354,6,DCCD,0,322042,31626954
354,8,DDDC,0,323851,31616041
354,9,CDDC,1,9998371827,31687652
354,14,DCCC,0,318913,31428418
354,15,CCCC,1,5189996303,31777990
355,15,CCCC,0,1180036908,395504074
356,0,DDDD,0,19146917196,2371255790
356,1,CDDD,0,18998868943,1675036194
357,0,DDDD,0,316025,31409049
357,8,DDDC,0,315835,31395733
357,9,CDDC,1,317107,31584156
357,14,DCCC,0,317800,31558724
357,15,CCCC,1,24775324087,26456330080
359,0,DDDD,0,24240781557,14557096788
359,1,CDDD,0,25743660396,34270696826
359,8,DDDC,0,318233,31684743
359,9,CDDC,1,321315,31685584
359,15,CCCC,1,316632,31696747
360,15,CCCC,1,24747174093,26855888382
361,0,DDDD,0,8939129374,8209801803
361,1,CDDD,0,7952741471,344908113
362,0,DDDD,0,2560817588,31432970
362,1,CDDD,0,2438273832,31556645
362,6,DCCD,0,321069,31706753
362,8,DDDC,0,318493,31373501
362,9,CDDC,1,4999354625,31625695
362,14,DCCC,0,4999358555,31635583
362,15,CCCC,1,17388352742,20497432160
364,0,DDDD,0,24547410431,15262283970
364,1,CDDD,0,25416361851,33540983160
365,15,CCCC,1,24983442736,26630711692
367,0,DDDD,0,24238981878,14337758241
367,1,CDDD,0,25746390756,34299211058
367,6,DCCD,0,317109,31608358
367,8,DDDC,0,318728,31572867
367,9,CDDC,1,322089,31634534
367,14,DCCC,0,315246,31425707
367,15,CCCC,1,317395,31763393
368,15,CCCC,0,4711281142,3646770907
369,0,DDDD,0,11700488821,7055998336
369,1,CDDD,0,11474799486,936830485
370,0,DDDD,0,315814,31423191
370,1,CDDD,0,316086,31502336
370,6,DCCD,0,316963,31580622
370,8,DDDC,0,316090,31394874
370,9,CDDC,1,316734,31574651
370,14,DCCC,0,316340,31556346
370,15,CCCC,1,25490709255,25446602070
372,0,DDDD,0,24656127015,15146075720
372,1,CDDD,0,25327249201,33692004119
373,15,CCCC,1,25470999565,32991187621
375,0,DDDD,0,9738906260,8657113303
375,1,CDDD,0,10255719321,20518809366
375,6,DCCD,0,4999291334,31761506
375,8,DDDC,0,4999359503,31564890
375,9,CDDC,1,325275,31799004
375,14,DCCC,0,323343,31583890
375,15,CCCC,1,9948133395,10719229247
377,0,DDDD,0,21167780910,1326085577
377,1,CDDD,0,21246693320,919853911
378,9,CDDC,1,315578,31577347
378,15,CCCC,1,24372505489,26577899279
380,0,DDDD,0,25193177987,1825556882
380,1,CDDD,0,24792119785,46910401824
380,6,DCCD,0,317012,31624244
380,8,DDDC,0,316904,31616419
380,9,CDDC,1,319145,31659893
380,14,DCCC,0,315513,31449432
380,15,CCCC,1,315385,31734998
381,15,CCCC,0,3844761598,2406195942
382,0,DDDD,0,9858592171,8328378704
382,1,CDDD,0,9018516071,873108629
383,0,DDDD,0,315371,31427298
383,1,CDDD,0,317313,31530207
383,6,DCCD,0,317144,31629149
383,8,DDDC,0,315655,31384810
383,9,CDDC,1,316534,31596606
383,14,DCCC,0,317046,31612985
383,15,CCCC,1,25513986028,19485127528
385,0,DDDD,0,25051226573,15288939012
385,1,CDDD,0,24929050387,33549198163
386,15,CCCC,1,25362883136,32685211269
388,0,DDDD,0,23008300162,14618029556
388,1,CDDD,0,21978937379,34024964563
388,6,DCCD,0,317571,31603957
388,8,DDDC,0,320222,31580429
388,9,CDDC,1,4999368170,31662908
388,14,DCCC,0,316049,31431380
388,15,CCCC,1,317240,31767096
389,15,CCCC,0,2757359173,829098982
390,0,DDDD,0,15221109642,3175205978
390,1,CDDD,0,15053679446,2161543922
391,0,DDDD,0,315839,31427175
391,1,CDDD,0,315795,31493886
391,8,DDDC,0,316937,31403723
391,9,CDDC,1,315994,31590064
391,14,DCCC,0,316041,31567720
391,15,CCCC,1,25116237717,30312269585
393,0,DDDD,0,24942537906,14879113655
393,1,CDDD,0,25042359552,33983832767
393,9,CDDC,1,317531,31687162
394,15,CCCC,1,25281823218,30241459664
395,0,DDDD,0,7427505726,8583176735
396,0,DDDD,0,315700,31447584
396,1,CDDD,0,317323,31589404
396,6,DCCD,0,318775,31758426
396,8,DDDC,0,316014,31397601
396,9,CDDC,1,4999374039,31704185
396,14,DCCC,0,317203,31698722
396,15,CCCC,1,23687863474,26423025127
398,0,DDDD,0,24192360238,6739550065
398,1,CDDD,0,24456576943,1835288938
399,15,CCCC,1,25552736220,27238473125
401,0,DDDD,0,25393085808,14308084864
401,1,CDDD,0,24592690816,34383303776
401,6,DCCD,0,315675,31608113
401,8,DDDC,0,316481,31569418
401,9,CDDC,1,319186,31628462
401,14,DCCC,0,315327,31410244
401,15,CCCC,1,317200,31743014
402,15,CCCC,0,6061174942,4298353676
403,0,DDDD,0,10403934397,7742425530
403,1,CDDD,0,10072427943,795680671
404,0,DDDD,0,315351,31428818
404,1,CDDD,0,315091,31509692
404,6,DCCD,0,316611,31594679
404,8,DDDC,0,316144,31390108
404,9,CDDC,1,316285,31577628
404,14,DCCC,0,316904,31565102
404,15,CCCC,1,25919249460,25683766323
406,0,DDDD,0,24514501058,15267881868
406,1,CDDD,0,25469235292,33604206418
407,15,CCCC,1,25186121206,31143697895
409,0,DDDD,0,12190847851,14483289311
409,1,CDDD,0,12802495305,34161533669
409,6,DCCD,0,319110,31635129
409,8,DDDC,0,316018,31640317
409,9,CDDC,1,320443,31731271
409,14,DCCC,0,318181,31426217
409,15,CCCC,1,12520919205,31811966
410,15,CCCC,0,1062484782,285258225
411,0,DDDD,0,20343436641,1839738182
411,1,CDDD,0,20197803379,1568765508
412,8,DDDC,0,315071,31391039
412,9,CDDC,1,316425,31575138
412,15,CCCC,1,24946140242,26795924831
414,0,DDDD,0,24527404653,13931825713
414,1,CDDD,0,25458266747,34954206124
414,8,DDDC,0,316521,31688985
414,9,CDDC,1,317343,31691569
414,14,DCCC,0,315203,31448678
414,15,CCCC,1,315767,31676323
415,15,CCCC,0,850841513,1876937983
416,0,DDDD,0,8323295667,7518373843
416,1,CDDD,0,7481578404,956820512
417,0,DDDD,0,315951,31429523
417,1,CDDD,0,316433,31549901
417,6,DCCD,0,4999318753,31670893
417,8,DDDC,0,314898,31388896
417,9,CDDC,1,4999393882,31612038
417,14,DCCC,0,322815,31609288
417,15,CCCC,1,20646536924,23074158764
419,0,DDDD,0,25725745300,15358067288
419,1,CDDD,0,24254101309,33513552393
420,15,CCCC,1,24767379778,32703061189
422,0,DDDD,0,25476251278,14565291043
422,1,CDDD,0,24509819003,34143535899
422,6,DCCD,0,315741,31602658
422,8,DDDC,0,315870,31574173
422,9,CDDC,1,318166,31625681
422,14,DCCC,0,315361,31427784
422,15,CCCC,1,316319,31735473
423,15,CCCC,0,5131570211,2733006231
424,0,DDDD,0,11438179990,4858391222
424,1,CDDD,0,11271575468,1375400667
425,0,DDDD,0,315013,31417871
425,1,CDDD,0,316160,31501265
425,6,DCCD,0,316277,31575985
425,8,DDDC,0,315720,31383146
425,9,CDDC,1,315490,31574999
425,14,DCCC,0,316219,31567369
425,15,CCCC,1,24877111457,26158744799
427,0,DDDD,0,24780244137,15152177915
427,1,CDDD,0,25204994629,33755745067
428,15,CCCC,1,24958989243,29697425510
430,0,DDDD,0,14699834392,31477629
430,1,CDDD,0,15292039374,31649485
430,6,DCCD,0,317007,31825808
430,8,DDDC,0,318356,31416483
430,9,CDDC,1,320510,31733695
430,14,DCCC,0,316699,31759813
430,15,CCCC,1,10338766761,25086560449
432,0,DDDD,0,23152354594,4636781325
432,1,CDDD,0,23420867655,1819586631
433,15,CCCC,1,26003103846,41195609537
435,0,DDDD,0,24869446580,14192721542
435,1,CDDD,0,25116701147,34567271353
435,6,DCCD,0,315720,31587894
435,8,DDDC,0,316291,31570413
435,9,CDDC,1,316243,31639290
435,14,DCCC,0,316256,31426685
435,15,CCCC,1,316373,31714744
436,15,CCCC,0,6577136241,2981667607
437,0,DDDD,0,8941266984,6755322943
437,1,CDDD,0,8617194076,996120818
438,0,DDDD,0,315415,31424203
438,1,CDDD,0,315873,31520435
438,6,DCCD,0,316655,31636838
438,8,DDDC,0,315607,31391846
438,9,CDDC,1,315888,31566430
438,14,DCCC,0,316664,31578535
438,15,CCCC,1,25494328743,23251659372
440,0,DDDD,0,24844482353,15369978449
440,1,CDDD,0,25139760928,33548860651
441,15,CCCC,1,25026794520,27613069968
443,0,DDDD,0,22728752479,14457436920
443,1,CDDD,0,22258940793,34269810738
443,6,DCCD,0,315384,31627486
443,8,DDDC,0,316875,31656154
443,9,CDDC,1,316469,31711041
443,14,DCCC,0,315131,31432724
443,15,CCCC,1,2498394459,31730400
444,15,CCCC,0,2556653696,379609492
445,0,DDDD,0,15484178745,2478529414
445,1,CDDD,0,15609665039,2086278289
446,0,DDDD,0,315587,31419773
446,1,CDDD,0,314938,31505258
446,8,DDDC,0,315617,31395176
446,9,CDDC,1,315762,31580208
446,14,DCCC,0,316059,31566074
446,15,CCCC,1,24563652420,30315112912
448,0,DDDD,0,25001483272,14767822564
448,1,CDDD,0,24984519141,34179676803
448,8,DDDC,0,316161,31697856
448,9,CDDC,1,315328,31680709
448,15,CCCC,1,316004,31661216
449,15,CCCC,1,24017006094,27114405173
450,0,DDDD,0,6294895825,7726237730
450,1,CDDD,0,5510415169,301134527
451,0,DDDD,0,316417,31451269
451,1,CDDD,0,315162,31588126
451,6,DCCD,0,315752,31721753
451,8,DDDC,0,315078,31389143
451,9,CDDC,1,314949,31655450
451,14,DCCC,0,316587,31662244
451,15,CCCC,1,24816229719,25081905563
453,0,DDDD,0,25216894042,15212634606
453,1,CDDD,0,24762624004,33708098068
454,15,CCCC,1,24936882462,33259039629
456,0,DDDD,0,25664131554,14592420144
456,1,CDDD,0,24322155205,34212414372
456,6,DCCD,0,317330,31589818
456,8,DDDC,0,315865,31565430
456,9,CDDC,1,316527,31628661
456,14,DCCC,0,315947,31427490
456,15,CCCC,1,316665,31697291
457,15,CCCC,0,6840792844,3967043164
458,0,DDDD,0,9675399200,6269800680
458,1,CDDD,0,9609417485,896244016
459,0,DDDD,0,316137,31439311
459,1,CDDD,0,315407,31515593
459,6,DCCD,0,316177,31577933
459,8,DDDC,0,316366,31388286
459,9,CDDC,1,315459,31547464
459,14,DCCC,0,315827,31565031
459,15,CCCC,1,25248279720,18752540343
461,0,DDDD,0,24750647654,15272777711
461,1,CDDD,0,25235099982,33702334612
462,15,CCCC,1,25095614907,27703797939
464,0,DDDD,0,16866609054,11624719222
464,1,CDDD,0,18123994755,27388534340
464,6,DCCD,0,317324,31738017
464,8,DDDC,0,316272,31643790
464,9,CDDC,1,317338,31845027
464,14,DCCC,0,316785,31518895
464,15,CCCC,1,7577846616,5179882012
465,15,CCCC,0,884343526,233702250
466,0,DDDD,0,20888977671,583357847
466,1,CDDD,0,21498799682,541933085
467,9,CDDC,1,316751,31573040
467,15,CCCC,1,24838020101,26565664784
469,0,DDDD,0,24401730537,14236919131
469,1,CDDD,0,25584573718,34597524209
469,6,DCCD,0,315178,31623443
469,8,DDDC,0,314894,31608099
469,9,CDDC,1,315555,31644616
469,14,DCCC,0,315474,31449013
469,15,CCCC,1,315305,31687916
470,15,CCCC,0,5514372081,2233181136
471,0,DDDD,0,7467359538,7541216326
471,1,CDDD,0,7095229171,817538496
472,0,DDDD,0,315604,31436578
472,1,CDDD,0,315495,31536889
472,6,DCCD,0,316335,31655057
472,8,DDDC,0,315825,31385903
472,9,CDDC,1,315202,31603757
472,14,DCCC,0,4999391112,31621053
472,15,CCCC,1,22707291836,25082323256
474,0,DDDD,0,24631939896,15377452344
474,1,CDDD,0,25352963360,33620042890
475,15,CCCC,1,24954712239,30828267165
477,0,DDDD,0,24536408531,14657137297
477,1,CDDD,0,25450023789,34204136705
477,6,DCCD,0,316732,31597179
477,8,DDDC,0,315144,31578957
477,9,CDDC,1,316724,31661168
477,14,DCCC,0,315349,31426220
477,15,CCCC,1,315612,31690288
478,15,CCCC,0,4528651094,599202239
479,0,DDDD,0,10580499166,3611330617
479,1,CDDD,0,10727083135,1896294523
480,0,DDDD,0,316198,31437588
480,1,CDDD,0,316575,31508838
480,6,DCCD,0,316721,31591880
480,8,DDDC,0,315935,31391568
480,9,CDDC,1,315038,31560589
480,14,DCCC,0,316115,31571035
480,15,CCCC,1,25669685463,24399027087
482,0,DDDD,0,24477822954,15190342875
482,1,CDDD,0,25508550402,33860853038
482,9,CDDC,1,315722,31688325
483,15,CCCC,1,24883918882,26798065391
484,0,DDDD,0,4447429736,8323121651
485,0,DDDD,0,315648,31468509
485,1,CDDD,0,314988,31631289
485,6,DCCD,0,4999347307,31768164
485,8,DDDC,0,316364,31390794
485,9,CDDC,1,315395,31682964
485,14,DCCC,0,4999397485,31694725
485,15,CCCC,1,19784119587,25763783922
487,0,DDDD,0,25867861761,15472150159
487,1,CDDD,0,24111691420,33545643371
488,15,CCCC,1,25157062265,36228101999
490,0,DDDD,0,25272704346,14639479194
490,1,CDDD,0,24713721582,34338102475
490,6,DCCD,0,316144,31573018
490,8,DDDC,0,315978,31572606
490,9,CDDC,1,314754,31608677
490,14,DCCC,0,316446,31425095
490,15,CCCC,1,316058,31655228
491,15,CCCC,0,7870313008,4657680159
492,0,DDDD,0,8170370667,7412066701
492,1,CDDD,0,8087667212,601744761
493,0,DDDD,0,315476,31430071
493,1,CDDD,0,315840,31508524
493,6,DCCD,0,315643,31597297
493,8,DDDC,0,315663,31388377
493,9,CDDC,1,316015,31560387
493,14,DCCC,0,315141,31550334
493,15,CCCC,1,25525713315,25554729161
495,0,DDDD,0,25474868662,15470556922
495,1,CDDD,0,24511512543,33642868229
496,15,CCCC,1,24753750222,27235643391
498,0,DDDD,0,17114307657,14652693040
498,1,CDDD,0,17876405582,34319332639
498,6,DCCD,0,315493,31636380
498,8,DDDC,0,315868,31644451
498,9,CDDC,1,9998537515,31745301
498,14,DCCC,0,315214,31424990
498,15,CCCC,1,2667746064,31716023
499,15,CCCC,0,2412210323,266425043
500,0,DDDD,0,13836320386,2173219075
500,1,CDDD,0,13753042221,2065990184
501,0,DDDD,0,315516,31423460
501,8,DDDC,0,315119,31387905
501,9,CDDC,1,314701,31562726
501,14,DCCC,0,315788,31571282
501,15,CCCC,1,25640587973,27185097581
503,0,DDDD,0,24842689896,12268377082
503,1,CDDD,0,25143893840,36831735805
503,6,DCCD,0,314481,31596827
503,8,DDDC,0,315974,31609112
503,9,CDDC,1,314814,31645490
503,14,DCCC,0,315813,31452296
503,15,CCCC,1,315334,31625378
504,15,CCCC,0,4904008225,1596128029
505,0,DDDD,0,6615938055,7330387574
505,1,CDDD,0,5705505180,299003212
506,0,DDDD,0,2399146776,31443156
506,1,CDDD,0,2600058995,31571574
506,6,DCCD,0,315481,31696206
506,8,DDDC,0,316444,31396449
506,9,CDDC,1,315750,31624975
506,14,DCCC,0,4999400853,31645194
506,15,CCCC,1,20257638408,26144650222
508,0,DDDD,0,24495401709,15342195644
508,1,CDDD,0,25491059579,33881867772
509,15,CCCC,1,24873749678,27138018146
511,0,DDDD,0,25166105778,15072013336
511,1,CDDD,0,24820557786,34161166971
511,6,DCCD,0,316890,31545525
511,8,DDDC,0,316027,31577353
511,9,CDDC,1,316310,31664806
511,14,DCCC,0,315481,31426617
511,15,CCCC,1,316408,31596740
