# replicates_c1_e4.csv -- memory-two Wright-Fisher run c1_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files c1_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 22000000 (runs.csv), isl from games_c1_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_c1_e4.csv within 5.5e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,22013671,0.96675597,0.04970519,0.03025702,0.01790513,0.0021683,0.89745284,0.00013066,0.00238085,36943,6,0.00905836,0.9994994
0,2,22013672,0.9652909,0.05259379,0.0326818,0.01764254,0.00210665,0.89337588,0.00021452,0.00138482,35081,6,0.01163025,0.9993988
0,3,22013673,0.96627823,0.05123511,0.03089634,0.01761045,0.0021501,0.89679581,0.00030843,0.00100377,37385,6,0.00758257,0.9994491
0,4,22013674,0.96485573,0.05101723,0.02998616,0.02318707,0.0021523,0.89270269,0.00016147,0.00079308,35161,6,0.00923443,0.9994994
0,5,22013675,0.96857847,0.05432533,0.03189939,0.00646509,0.00231632,0.90453143,0.00020013,0.00026231,33037,6,0.01053233,0.9993988
0,6,22013676,0.9686054,0.05025484,0.03151731,0.01182113,0.00231103,0.90397819,8.855e-05,2.895e-05,32909,6,0.01072106,0.9994993
0,7,22013677,0.96400483,0.05490103,0.03212583,0.01937682,0.00209667,0.89129538,0.00016324,4.102e-05,39833,6,0.00799438,0.999649
0,8,22013678,0.9645576,0.05226086,0.03127784,0.02071123,0.00244546,0.88981278,0.00043832,0.0030535,23001,6,0.00962811,0.9996992
0,9,22013679,0.96293092,0.05451298,0.03225391,0.02388215,0.00242942,0.88364617,0.00039402,0.00288134,37160,2,0.01122471,0.6663929
0,10,22013680,0.97132557,0.04817717,0.03010663,0.00690405,0.00183926,0.91193017,0.00020258,0.00084014,36879,6,0.00674351,0.9994994
