# replicates_dw3_e4.csv -- memory-two Wright-Fisher run dw3_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files dw3_e4.{idx,win} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 10000000 (runs.csv), isl from games_dw3_e4.csv
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,top,top_atom,top_share,top_selfpay
0,1,10013671,39177,6,0.31447142,0.9993988
0,2,10013672,28811,6,0.33057276,0.9996992
0,3,10013673,36873,6,0.38540683,0.9994994
0,4,10013674,33357,6,0.21695529,0.9994994
0,5,10013675,31001,6,0.42790097,0.9996993
0,6,10013676,33833,6,0.39154428,0.9994994
0,7,10013677,26637,6,0.27842666,0.9996493
0,8,10013678,60811,6,0.29226646,0.9995986
0,9,10013679,8153,6,0.48169684,0.9996993
0,10,10013680,39887,6,0.92523007,0.9997984
1,1,10013701,59401,6,0.46980311,0.9996804
1,2,10013702,14743,6,0.17278463,0.9998553
1,3,10013703,33567,6,0.23304203,0.9998205
1,4,10013704,10383,6,0.28711647,0.9994111
1,5,10013705,29323,6,0.21283993,0.9996206
1,6,10013706,19399,6,0.26191838,0.9997108
1,7,10013707,22935,6,0.12568089,0.9998553
1,8,10013708,29087,6,0.25289487,0.9998803
1,9,10013709,59469,6,0.28841613,0.9996804
1,10,10013710,33963,6,0.46844646,0.9994804
2,1,10013731,62089,6,0.33024303,0.9997088
2,2,10013732,64207,6,0.3266888,0.9997393
2,3,10013733,38985,6,0.47969105,0.9995393
2,4,10013734,37389,6,0.36359393,0.999509
2,5,10013735,34767,6,0.25256715,0.9998783
2,6,10013736,37065,6,0.3530742,0.9995393
2,7,10013737,60425,6,0.44351808,0.9997392
2,8,10013738,58959,6,0.244233,0.9997392
2,9,10013739,33931,6,0.31936477,0.9995393
2,10,10013740,24587,6,0.47631399,0.9996892
3,1,10013761,57549,6,0.53340753,0.9996617
3,2,10013762,30143,6,0.12232717,0.9998617
3,3,10013763,40073,6,0.26748247,0.9994619
3,4,10013764,28779,6,0.30512543,0.9995236
3,5,10013765,47575,6,0.17349049,0.9998366
3,6,10013766,61449,6,0.43737064,0.9996618
3,7,10013767,34079,6,0.2498541,0.9998616
3,8,10013768,35401,6,0.22946421,0.9994618
3,9,10013769,25919,6,0.18528934,0.9998117
3,10,10013770,37727,6,0.58572744,0.9998617
4,1,10013791,28495,6,0.25452947,0.9997731
4,2,10013792,29151,6,0.2889478,0.9999115
4,3,10013793,26187,6,0.18787476,0.9996616
4,4,10013794,22391,6,0.17919612,0.9998427
4,5,10013795,23399,6,0.23229995,0.9997539
4,6,10013796,10647,6,0.15659052,0.9998614
4,7,10013797,52639,6,0.20400575,0.9999114
4,8,10013798,42487,6,0.2211859,0.9998782
4,9,10013799,14327,6,0.20347205,0.9998865
4,10,10013800,63967,6,0.15749931,0.9999115
5,1,10013821,6105,6,0.6605759,0.9997293
5,2,10013822,34863,6,0.28995181,0.9994942
5,3,10013823,57865,6,0.40978114,0.999694
5,4,10013824,27215,6,0.26062933,0.9996794
5,5,10013825,61647,6,0.35908452,0.9997293
5,6,10013826,55503,6,0.4579025,0.9996587
5,7,10013827,39947,6,0.55462926,0.9995294
5,8,10013828,26653,6,0.16833628,0.9996088
5,9,10013829,51919,6,0.3065794,0.9996588
5,10,10013830,52039,6,0.7279884,0.9998252
6,1,10013851,38895,6,0.33790425,0.9996784
6,2,10013852,42367,6,0.43310164,0.9998391
6,3,10013853,8023,6,0.32875927,0.9998141
6,4,10013854,63209,6,0.33837933,0.9996392
6,5,10013855,43863,6,0.26937725,0.9998058
6,6,10013856,39951,6,0.24823548,0.9994392
6,7,10013857,10711,6,0.20263981,0.9997891
6,8,10013858,64075,6,0.70758212,0.9996391
