# replicates_c3_e4.csv -- memory-two Wright-Fisher run c3_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files c3_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 24000000 (runs.csv), isl from games_c3_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_c3_e4.csv within 6.6e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,24013671,0.95665947,0.02936531,0.01323852,0.08345965,0.00184061,0.87128366,0.00010949,0.00070276,35849,6,0.03715766,0.9994993
0,2,24013672,0.96255689,0.03055505,0.00969946,0.06619951,0.00109768,0.89244786,2.8e-07,1.6e-07,33483,6,0.04686459,0.9994993
0,3,24013673,0.98513999,0.02803934,0.00714321,0.00615363,0.00048245,0.95579863,4.297e-05,0.00233978,37129,6,0.04955361,0.9993988
0,4,24013674,0.98676677,0.02004986,0.01221748,0.00866227,0.0009257,0.95799979,0.00014474,1.7e-07,36137,6,0.05621709,0.9993988
0,5,24013675,0.95514002,0.01809485,0.00681234,0.10336135,0.00135007,0.86813318,0.00224754,6.7e-07,36970,2,0.08091604,0.6663986
0,6,24013676,0.95828073,0.02546896,0.01181024,0.0836418,0.00084527,0.87788438,0.00034932,3e-08,37130,2,0.06320107,0.6664099
0,7,24013677,0.96459555,0.02473382,0.01240517,0.06725666,0.00218444,0.89340649,1.338e-05,4e-08,37069,6,0.04103434,0.9994993
0,8,24013678,0.97561588,0.03096208,0.0108133,0.02671991,0.0015743,0.92865338,0.00127691,1.3e-07,38361,6,0.03557919,0.999498
0,9,24013679,0.98116938,0.03329255,0.01012477,0.0090266,0.00168451,0.93539874,2.4e-07,0.01047259,22663,6,0.07169107,0.9994238
0,10,24013680,0.98192123,0.02973851,0.01272888,0.00797114,0.00149832,0.9472074,0.00085567,8e-08,58377,6,0.04054859,0.9996993
1,1,24013701,0.99935117,0.00036069,0.0,2.93e-06,1.269e-05,0.99962365,1e-08,3e-08,60217,6,0.05066297,0.9991226
1,2,24013702,0.99939978,0.00040501,0.0,3.13e-06,1.479e-05,0.99684209,0.0,0.00273498,28087,6,0.02317703,0.9997304
1,3,24013703,0.99938468,0.00040644,0.0,3.18e-06,1.622e-05,0.999574,0.0,1.6e-07,52919,6,0.03556836,0.9996677
1,4,24013704,0.99938744,0.00038763,0.0,2.93e-06,1.376e-05,0.99959562,1e-08,5e-08,5881,6,0.03086944,0.999461
1,5,24013705,0.99933608,0.00036494,0.0,2.86e-06,1.489e-05,0.99467303,1e-08,0.00494427,22969,6,0.04545399,0.9996206
1,6,24013706,0.99937394,0.00037562,0.0,2.98e-06,1.334e-05,0.99960794,1e-08,1.2e-07,35465,6,0.07025229,0.9994208
1,7,24013707,0.99931319,0.00032311,0.0,2.8e-06,1.231e-05,0.99966173,0.0,3e-08,34153,6,0.03041568,0.9992419
1,8,24013708,0.99942425,0.00038988,0.0,2.97e-06,1.389e-05,0.9995932,0.0,6e-08,64811,6,0.02693748,0.9995609
1,9,24013709,0.99904773,0.00139998,0.0,3.1e-06,1.455e-05,0.9985821,1e-08,2.5e-07,61257,6,0.03213165,0.9993612
1,10,24013710,0.99923773,0.00074038,0.0,2.9e-06,2.572e-05,0.99923097,0.0,3e-08,38761,6,0.04559847,0.999561
2,1,24013731,0.98468648,0.03186248,0.00983689,0.01080975,0.0008696,0.94662116,8e-08,4e-08,33481,6,0.04424307,0.9995393
2,2,24013732,0.98744823,0.03238144,0.01038112,0.00172846,0.00247559,0.95303292,7e-08,4e-07,39881,6,0.03133498,0.9996785
2,3,24013733,0.96427943,0.03586072,0.01146443,0.07003081,0.00178554,0.87413055,8e-08,0.00672787,8869,2,0.0486099,0.6955336
2,4,24013734,0.96997797,0.04624721,0.01083106,0.04214955,0.0020451,0.89872685,7e-08,1.5e-07,52121,6,0.02885567,0.999509
2,5,24013735,0.97639603,0.04250211,0.01085199,0.02532605,0.00229262,0.91902713,7e-08,3e-08,36633,6,0.04582239,0.9993574
2,6,24013736,0.98614755,0.03561613,0.01276045,0.00128789,0.00280146,0.94388481,6e-08,0.00364919,37067,6,0.05407797,0.9995393
2,7,24013737,0.97317916,0.05209417,0.01220449,0.02101262,0.00238498,0.91145137,0.00085234,3e-08,35785,6,0.07220019,0.9994787
2,8,24013738,0.97591694,0.0395431,0.01491564,0.02590071,0.00364514,0.91599529,6e-08,6e-08,59785,6,0.02961703,0.9996784
2,9,24013739,0.98601017,0.02977201,0.00929932,0.00344088,0.00214293,0.95521799,0.00012678,1e-07,58313,6,0.0556097,0.9994788
2,10,24013740,0.96784211,0.04829791,0.0173765,0.04123034,0.0038172,0.88811103,0.00116696,6e-08,33071,6,0.05050171,0.9994483
3,1,24013761,0.98562767,0.00343796,0.0,0.03569999,1.519e-05,0.96084652,3e-07,3e-08,35257,6,0.02944782,0.9993929
3,2,24013762,0.99682633,0.00206142,0.0,0.0032342,1.688e-05,0.99468708,3.2e-07,9e-08,48807,6,0.0327516,0.9992609
3,3,24013763,0.99412125,0.00225159,0.0,0.01229959,8.38e-05,0.98531496,4.996e-05,1e-07,30999,6,0.03126575,0.9996118
3,4,24013764,0.99666775,0.00292753,0.0,0.00254478,0.00018524,0.99416678,0.00017502,6.4e-07,57355,6,0.04783775,0.9996618
3,5,24013765,0.99286309,0.00307336,0.0,0.0150151,0.00012541,0.98178575,3.3e-07,5e-08,37581,6,0.03084772,0.9994618
3,6,24013766,0.99084287,0.00130394,0.0,0.02403638,2.315e-05,0.97463611,3.7e-07,4e-08,32847,6,0.0617356,0.9994619
3,7,24013767,0.98556609,0.0070975,0.0,0.0323199,2.259e-05,0.9605595,3.9e-07,1.1e-07,53065,6,0.04124506,0.9993238
3,8,24013768,0.98047924,0.00316207,0.0,0.03884524,0.00040597,0.95758623,3.4e-07,1.5e-07,32811,6,0.03458092,0.9993928
3,9,24013769,0.99456271,0.00413635,0.0,0.00592617,5.494e-05,0.98988217,3.4e-07,3e-08,64873,6,0.0372898,0.9993857
3,10,24013770,0.98237637,0.00515725,0.0,0.03953144,0.00019722,0.95452704,9.641e-05,0.00049064,59385,6,0.03935776,0.9994619
4,1,24013791,0.99943219,0.0004085,0.0,2.14e-06,1.442e-05,0.99957489,1e-08,3e-08,56185,6,0.0483486,0.9996674
4,2,24013792,0.99945095,0.00039722,0.0,1.96e-06,1.365e-05,0.99958711,2e-08,4e-08,64073,6,0.04371697,0.9997116
