# games_lm_g01_e4.csv -- memory-two Wright-Fisher run lm_g01_e4 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files lm_g01_e4.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 3); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1368,0.99259111214,7.31122e-05,0.99259111214,65536,10,0.03990387491874667,0.054990034671877686,4.0198080057542434e-05,0.002478289088498638,0.9025622607006397,3.4935000600568375e-06,2.1849040119471436e-05
1,1371,0.99438206829,2.193486e-05,0.99438206829,65536,10,0.03904131742432452,0.0,4.1994080032598026e-05,0.0004290692210905059,0.9604783707745687,6.38200000035813e-08,9.184679989406354e-06
2,1374,0.99326015221,0.0001650174,0.99326015221,65536,10,0.04491649456488823,0.0423703466997083,5.722736011878904e-05,0.00282861154333387,0.9098043190518312,9.3260000352057e-07,2.2068180116790013e-05
3,1377,0.99263538901,5.420222e-05,0.99263538901,65536,10,0.03733797666879806,0.0,0.0003056808798040844,0.0012342740406518996,0.9610728784918632,2.791020041468727e-06,4.639889883941632e-05
4,1380,0.99536349568,1.972867e-05,0.99536349568,65536,10,0.03949199904973999,0.0,2.3731500032749964e-05,0.00040423241893473367,0.9600710364113157,1.4668000140195913e-07,8.853939997892546e-06
5,1383,0.99257795878,0.0001476301,0.99257795878,65536,10,0.03999925761178471,0.053830896351091465,0.00015059261923907488,0.002303618417869749,0.9036684242595736,1.494024004167113e-05,3.2270500402259425e-05
6,1386,0.99368097379,1.433901e-05,0.99368097379,65536,10,0.03748196360104716,0.0,0.00013205902056909666,0.0003814024997182613,0.9619961338786017,1.4374799883207053e-06,7.003520091711023e-06
7,1389,0.99391561002,0.0001724978,0.99391561002,65536,10,0.04791992750265061,0.04222129219654108,6.562417925888822e-05,0.002838109852719895,0.9069368431085952,1.1325799938387165e-06,1.7070580242952957e-05
8,1392,0.99178645293,6.638158e-05,0.99178645293,65536,10,0.03734385353110663,0.05020394547506302,0.0001031089399375585,0.002425807259157404,0.9098879406543482,1.1001159986592635e-05,2.434298040145718e-05
9,1395,0.99478016735,1.736444e-05,0.99478016735,65536,10,0.03769235333051263,0.0,6.879980038933261e-05,0.00033458994090803,0.9618996500282734,0.0,4.606899941056968e-06
10,1398,0.98674134435,0.0004544947,0.98674134435,65536,10,0.04597843650163558,0.11242372253278113,0.0017601398062143186,0.0048209455398276636,0.8345147896815276,8.193375960834018e-05,0.0004200321784007641
11,1401,0.99290988258,3.881598e-05,0.99290988258,65536,10,0.036956295254878764,0.0,0.00010717282028652108,0.00047938902087492206,0.9624392694438384,5.778360034898746e-06,1.2095100084558585e-05
12,1404,0.99653206696,3.186739e-05,0.99653206696,65536,10,0.04063179943810031,0.0,7.984020014042007e-06,0.0004410810811165805,0.9589065219406835,1.6752000312872012e-07,1.2446000107703081e-05
13,1407,0.99110236304,0.0001938801,0.99110236304,65536,10,0.030915360359432355,0.06850491664593664,0.0003246698798828412,0.0014933827393256928,0.8986514019756137,6.6319300005838e-05,4.3949099799052074e-05
14,1410,0.99399445954,1.088128e-05,0.99399445954,65536,10,0.035946293610446226,0.0,0.0005066690992062136,0.0003088302588543185,0.963231166671533,1.161819968271462e-06,5.87853998555484e-06
15,1413,0.98583987123,0.002155099,0.98583987123,65536,10,0.12770753243498356,0.056692821772955294,0.013462736307903516,0.0037953190813774067,0.7979135784980224,0.00010982239924412465,0.0003181895055179984
16,1416,0.99101550906,0.0005190281,0.99101550906,65536,10,0.03350422242795971,0.06934347663895221,0.0005730297406802097,0.002165760384476147,0.8943428888877881,4.027406014667008e-05,3.0347859997399214e-05
17,1419,0.99562160257,8.50337e-06,0.99562160257,65536,10,0.02817213327095239,0.0,9.34762005703085e-06,0.009998224351875895,0.3075686038625092,0.0,0.6542516908946041
18,1422,0.99147408457,0.0001431292,0.99147408457,65536,10,0.03691470827518883,0.0799763233587969,6.322691997334876e-05,0.002291085303232721,0.8804756575607405,9.319665995821592e-05,0.00018580192210833154
19,1425,0.99306984809,1.221598e-05,0.99306984809,65536,10,0.03569353334485723,0.0,0.00022292822036179148,0.00034692937934066364,0.9637233813556222,5.353039896836852e-06,7.874659940399418e-06
20,1428,0.99473535608,0.0003562045,0.99473535608,65536,10,0.06263065103213768,0.06831094011402673,0.00022738168011447773,0.0026842011591962475,0.8661361460145354,8.476200084585581e-07,9.832379979102365e-06
21,1431,0.99076882416,0.000241569,0.99076882416,65536,10,0.032251047126890885,0.056447233745281745,0.0004059381583826923,0.0017097416450255114,0.9088699720235996,0.0002719906607879535,4.4076640030886345e-05
22,1434,0.99461770929,1.354573e-05,0.99461770929,65536,10,0.026043049790236323,0.0,8.760703971439568e-05,0.010123372506441438,0.29773612672039806,0.0,0.6660098439432185
23,1437,0.99464642444,0.0006453618,1.0893515283,65536,10,0.06839694746275318,0.008071763446480999,3.751796001972157e-05,0.00814107001781746,0.8571320873446878,0.0,0.058220613768240975
24,1440,0.99219902408,3.964604e-05,0.99219902408,65536,10,0.03580709139505549,0.0,0.0001497279803201746,0.0005912184588953307,0.9634285297661666,9.12270004853145e-06,1.4309699521417131e-05
