# replicates_el_e3.csv -- memory-two Wright-Fisher run el_e3 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files el_e3.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 21000000 (runs.csv), isl from games_el_e3.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_el_e3.csv within 4.6e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
3,6,21013756,0.96501281,0.02344952,0.0,0.04705046,0.00108884,0.92786489,0.00054626,3e-08,8153,6,0.07017069,0.9966232
3,7,21013757,0.97401104,0.02019218,0.0,0.02136794,0.00148955,0.95516317,0.00028675,0.0015004,34585,6,0.06108479,0.9932779
3,8,21013758,0.95784631,0.0331601,0.0,0.05122149,0.00089289,0.91433691,0.00038859,3e-08,32813,6,0.05318481,0.9939493
3,9,21013759,0.95444451,0.04127079,0.0,0.05292581,0.0019411,0.89667196,0.00014775,0.0070426,37273,6,0.02913742,0.9966168
3,10,21013760,0.94511599,0.0407941,0.0,0.07763005,0.00133456,0.87930762,0.00093365,3e-08,38986,2,0.04345915,0.6634835
4,1,21013781,0.99550699,0.00054878,0.0,2.58e-06,1.742e-05,0.99943103,1e-08,1.7e-07,36975,6,0.03266156,0.9942661
4,2,21013782,0.99546597,0.00057579,0.0,2.71e-06,1.791e-05,0.99856434,2e-08,0.00083924,34089,6,0.02946933,0.9942647
4,3,21013783,0.99553319,0.00058079,0.0,2.72e-06,1.738e-05,0.9993988,2e-08,2.9e-07,35499,6,0.03246639,0.9942526
4,4,21013784,0.99528112,0.00053334,0.0,2.8e-06,1.864e-05,0.99944515,2e-08,6e-08,23497,6,0.06887731,0.9962453
4,5,21013785,0.99535608,0.00144999,0.0,2.88e-06,1.71e-05,0.99852995,3e-08,6e-08,57289,6,0.04216476,0.9962502
4,6,21013786,0.99518722,0.0008603,0.0,3.15e-06,1.729e-05,0.99911914,2e-08,1e-07,48121,6,0.04273382,0.9966864
4,7,21013787,0.9957837,0.00061527,0.0,2.71e-06,2.001e-05,0.99936188,2e-08,1e-07,34473,6,0.04494592,0.9946916
4,8,21013788,0.99520178,0.00054651,0.0,2.68e-06,1.652e-05,0.99943346,2e-08,8.1e-07,29209,6,0.02713843,0.9958141
4,9,21013789,0.99528072,0.00160933,0.0,2.95e-06,1.822e-05,0.99836936,1e-08,1.3e-07,23001,6,0.03791879,0.9971155
4,10,21013790,0.99492865,0.00123109,0.0,2.77e-06,1.97e-05,0.9987463,3e-08,1.1e-07,26953,6,0.07340272,0.9929075
5,1,21013811,0.96459213,0.05493,0.01058304,0.00212592,0.0094462,0.92124681,0.001668,4e-08,32793,6,0.07905037,0.9946176
5,2,21013812,0.95604249,0.08096769,0.01880608,0.00603698,0.00388943,0.88849557,0.00180412,1.3e-07,37323,6,0.03338599,0.9939252
5,3,21013813,0.95788512,0.07120659,0.01213061,0.00745285,0.00492622,0.90243307,0.00185058,8e-08,35083,6,0.0714688,0.9946135
5,4,21013814,0.95734822,0.059698,0.00790675,0.02309652,0.00477301,0.90302926,0.00149641,4e-08,33099,6,0.04040192,0.9939269
5,5,21013815,0.96522398,0.06046564,0.01359565,0.00202386,0.00558238,0.9175434,0.00078892,1.5e-07,33353,6,0.03779147,0.9953077
5,6,21013816,0.95579801,0.06619011,0.01261459,0.01696072,0.00798445,0.89562697,0.00062312,3e-08,24651,6,0.04397474,0.9968
5,7,21013817,0.96323451,0.06093425,0.00967961,0.00786143,0.0051002,0.91405511,0.00236934,6e-08,34345,6,0.04013242,0.9949608
5,8,21013818,0.95135672,0.07673742,0.01253366,0.02160526,0.00494342,0.87644095,0.00773921,9e-08,34265,6,0.05960099,0.9932516
5,9,21013819,0.95710513,0.04009171,0.01164911,0.04286631,0.0028055,0.89446986,0.0081174,1e-07,32969,6,0.05031812,0.9953042
5,10,21013820,0.95402281,0.07815759,0.01474355,0.00583577,0.00614159,0.88201264,0.00111367,0.01199519,59721,6,0.03660832,0.9959037
6,1,21013841,0.99429239,0.00039262,0.0,1.061e-05,1.474e-05,0.99958175,2.1e-07,5e-08,33867,6,0.03494611,0.992818
6,2,21013842,0.99462936,0.00041689,0.0,0.00066708,1.441e-05,0.99890119,2e-07,2.2e-07,61769,6,0.03802019,0.9932323
6,3,21013843,0.9941666,0.00042224,0.0,1.133e-05,1.325e-05,0.99955272,2.4e-07,2.3e-07,14553,6,0.05861327,0.9902795
6,4,21013844,0.94544585,0.0036242,0.0,0.1453442,1.621e-05,0.85101511,2e-07,8e-08,37208,2,0.14532427,0.6650565
6,5,21013845,0.99443705,0.00040969,0.0,1.087e-05,1.421e-05,0.99956325,2.8e-07,1.7e-06,35689,6,0.04656144,0.9920388
6,6,21013846,0.99405173,0.00039587,0.0,1.088e-05,1.529e-05,0.99957657,2e-07,1.19e-06,37209,6,0.04858735,0.9963926
6,7,21013847,0.99451294,0.00045781,0.0,1.155e-05,1.631e-05,0.99951408,1.9e-07,5e-08,20143,6,0.02244155,0.9917636
6,8,21013848,0.99422955,0.00046781,0.0,1.137e-05,1.638e-05,0.99950414,2.1e-07,1e-07,23191,6,0.03083244,0.9899454
6,9,21013849,0.99445802,0.00043665,0.0,1.166e-05,1.383e-05,0.99953692,1.9e-07,7.5e-07,61583,6,0.03843177,0.996395
6,10,21013850,0.99460767,0.00043061,0.0,0.00022169,1.487e-05,0.99489436,1.9e-07,0.00443829,58077,6,0.02609044,0.9948008
7,1,21013871,0.98354107,0.03078514,0.02197119,0.01759401,0.00308324,0.92656612,1.7e-07,1.4e-07,6553,6,0.06792756,0.9956404
7,2,21013872,0.98357375,0.04107998,0.03099127,0.00554742,0.00100864,0.92137249,9e-08,1e-07,32537,6,0.03443654,0.9968918
7,3,21013873,0.97309432,0.05541089,0.03158554,0.03816655,0.00190985,0.87292696,1.1e-07,9e-08,33069,6,0.04178211,0.9950872
7,4,21013874,0.96465308,0.03621929,0.02702474,0.11300756,0.00170223,0.82204598,1.5e-07,5e-08,8948,2,0.07243585,0.8088036
7,5,21013875,0.94741138,0.04595131,0.02242019,0.1810188,0.00267129,0.74793827,9e-08,5e-08,8428,2,0.16503468,0.807211
7,6,21013876,0.9770905,0.05763748,0.03697044,0.00264574,0.00290569,0.89135635,0.00845766,2.665e-05,21977,6,0.02808873,0.9961469
7,7,21013877,0.95388852,0.08551452,0.03221434,0.09501722,0.0011576,0.78609611,1.2e-07,1e-07,8380,2,0.0669187,0.8088036
7,8,21013878,0.97121439,0.06901708,0.04095037,0.03218781,0.00107678,0.85676726,1.2e-07,5.8e-07,7961,6,0.02554119,0.99224
7,9,21013879,0.9739368,0.06651231,0.03397454,0.01674907,0.00136123,0.88140261,1.5e-07,1e-07,33373,6,0.02792131,0.9952698
7,10,21013880,0.96378374,0.05933312,0.02508562,0.07140706,0.00076475,0.84340919,2.3e-07,3e-08,33835,6,0.03363531,0.9956361
8,1,21013901,0.96316458,0.02313008,0.01124856,0.04116568,0.00274821,0.91619801,0.00211358,0.00339588,52185,6,0.04458714,0.9947397
8,2,21013902,0.95982262,0.04148444,0.0190398,0.01717364,0.00466115,0.91277947,0.0021367,0.0027248,26953,6,0.07940151,0.9917304
8,3,21013903,0.96080056,0.04234273,0.01581387,0.01556954,0.00408144,0.90876323,0.00360359,0.0098256,33481,6,0.03718382,0.99473
8,4,21013904,0.96793962,0.02948546,0.01006366,0.02220877,0.00244715,0.93441238,0.00138255,2e-08,38025,6,0.05251734,0.9947247
8,5,21013905,0.92316815,0.04496533,0.01384072,0.10632825,0.00578004,0.82807957,0.0010056,4.9e-07,39946,2,0.04669568,0.6638564
8,6,21013906,0.9625624,0.04704516,0.02500432,0.00417553,0.00605407,0.9135162,0.00129584,0.00290887,36953,6,0.08363072,0.9934808
8,7,21013907,0.94772724,0.03890916,0.01155126,0.06644466,0.00328733,0.86623157,0.00166235,0.01191368,33803,6,0.0593046,0.9947337
8,8,21013908,0.96014631,0.04492512,0.01515014,0.01424802,0.00461802,0.91952737,0.00153128,5e-08,32779,6,0.04010743,0.994735
8,9,21013909,0.95783426,0.05548575,0.02052574,0.01449317,0.00565401,0.90308764,0.00075362,6e-08,38681,6,0.03566707,0.9954592
8,10,21013910,0.94777206,0.04932873,0.01136702,0.04468379,0.00599704,0.88503244,0.00114501,0.00244597,53209,6,0.04227132,0.9947417
9,1,21013931,0.99516226,0.00044855,0.0,7.57e-06,1.409e-05,0.99952959,0.0,2e-07,29801,6,0.03392989,0.9967394
9,2,21013932,0.99555579,0.00050894,0.0,8.17e-06,1.67e-05,0.99946608,0.0,1.1e-07,47263,6,0.0272452,0.9942516
9,3,21013933,0.99567328,0.00048244,0.0,7.78e-06,1.721e-05,0.99949221,0.0,3.6e-07,36217,6,0.03930186,0.9947474
9,4,21013934,0.99522772,0.00050759,0.0,7.83e-06,1.708e-05,0.99946655,0.0,9.5e-07,54649,6,0.0305727,0.9951302
9,5,21013935,0.99506967,0.0004793,0.0,7.51e-06,1.524e-05,0.99949775,0.0,2e-07,36911,6,0.02654016,0.9941299
9,6,21013936,0.99508775,0.00047797,0.0,7.7e-06,1.41e-05,0.99949744,0.0,2.79e-06,57947,6,0.02977212,0.9954888
9,7,21013937,0.9950326,0.00047921,0.0,7.62e-06,1.586e-05,0.999497,0.0,3e-07,29257,6,0.03097511,0.9967406
9,8,21013938,0.9953786,0.00046361,0.0,7.86e-06,1.46e-05,0.99951384,0.0,1e-07,23417,6,0.02653231,0.9961134
9,9,21013939,0.99520341,0.00045304,0.0,7.57e-06,1.434e-05,0.99952484,0.0,2.1e-07,33485,6,0.04036313,0.9947444
9,10,21013940,0.99512097,0.00047026,0.0,7.53e-06,1.453e-05,0.99950761,0.0,7e-08,32911,6,0.03016985,0.9947456
10,1,21013961,0.93612424,0.15752407,0.06190609,0.0573168,0.00712405,0.71389726,0.00223138,3.4e-07,37193,6,0.06403714,0.9952085
10,2,21013962,0.95374881,0.10608526,0.05042419,0.0577803,0.00779146,0.77386542,0.00405313,2.4e-07,5097,6,0.06486185,0.9915042
10,3,21013963,0.91785617,0.1499903,0.0485759,0.1689247,0.00853703,0.62099813,0.00297387,7e-08,37199,6,0.03407385,0.9952124
10,4,21013964,0.95423781,0.10571912,0.05793983,0.01579465,0.01519093,0.79895157,0.00640386,5e-08,33113,6,0.04584695,0.9957436
10,5,21013965,0.95373466,0.11853698,0.07006295,0.01818515,0.02342912,0.7664508,0.00333488,1.2e-07,37193,6,0.05670911,0.9952085
10,6,21013966,0.94087439,0.13840845,0.06825633,0.0374849,0.007601,0.73234894,0.00090917,0.01499121,4537,6,0.06218664,0.9917525
10,7,21013967,0.94602901,0.13353682,0.05994534,0.0363111,0.01551845,0.74281593,0.00738395,0.00448841,55431,6,0.02963625,0.996217
10,8,21013968,0.94879871,0.11995756,0.06218407,0.05569094,0.00921051,0.74563581,9e-08,0.00732102,32925,6,0.02839647,0.9954675
10,9,21013969,0.94686666,0.12613094,0.06710377,0.04276403,0.00715097,0.75622929,0.00062095,5e-08,34137,6,0.05551696,0.9954759
10,10,21013970,0.91744094,0.1574079,0.05810584,0.1844339,0.0135638,0.58648839,1.1e-07,6e-08,8884,2,0.1497634,0.8584106
11,1,21013991,0.98829403,0.00292827,0.0,0.01328909,1.511e-05,0.98376662,8.7e-07,4e-08,6121,6,0.03493102,0.9933881
11,2,21013992,0.99317801,0.00032224,0.0,6.32e-06,1e-05,0.99966064,7.4e-07,8e-08,33241,6,0.04604209,0.9941905
11,3,21013993,0.99323713,0.00063609,0.0,7.77e-06,2.581e-05,0.99667555,8.4e-07,0.00265395,18599,6,0.02741708,0.9901293
11,4,21013994,0.98699178,0.00160375,0.0,0.01891836,1.196e-05,0.97946504,8e-07,8e-08,7577,6,0.06008431,0.9941948
11,5,21013995,0.98949488,0.00058921,0.0,0.01016226,1.129e-05,0.98923635,8.1e-07,9e-08,51335,6,0.04844551,0.9927312
11,6,21013996,0.99338973,0.00113126,0.0,7.602e-05,1.437e-05,0.99877749,7.1e-07,1.6e-07,63497,6,0.02560204,0.996179
11,7,21013997,0.98068646,0.00121334,0.0,0.0272686,1.275e-05,0.97150436,8.7e-07,8e-08,39353,6,0.04735485,0.9952803
11,8,21013998,0.99209111,0.00249571,0.0,6.7e-06,1.251e-05,0.99748247,8e-07,1.81e-06,37833,6,0.04333813,0.9943747
11,9,21013999,0.92499141,0.00435148,0.0,0.20229602,0.00012991,0.79322174,8.2e-07,3e-08,36970,2,0.13500518,0.6623716
11,10,21014000,0.98788684,0.00737161,0.0,0.00870358,2.246e-05,0.98389929,8.2e-07,2.23e-06,53209,6,0.04318144,0.9941977
12,1,21014021,0.99599514,0.00299782,0.0,9e-07,2.024e-05,0.99698091,3e-08,1e-07,62329,6,0.04434701,0.9972341
12,2,21014022,0.99614242,0.00070231,0.0,1e-06,2.016e-05,0.99927646,1e-08,6e-08,28777,6,0.03314156,0.9969741
