# games_eh_e3.csv -- memory-two Wright-Fisher run eh_e3 (parameters: runs.csv), one row per sampled game, ipt order 0..511.
# Reduced by provenance/robustness/reduce.py from the packed files eh_e3.{idx,bin} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv; gid = 2000 + ipt)
#   isl      the task index of the game in the kit's slurm array (isl = 3*(ig - 1) + ie with ie = 2); it fixes the seeds
#   E        realised efficiency: mean per-round payoff of the population over the sampled second half of the
#            ten replicates, divided by Emax = max(1, (1 + u + v)/2)  (the 'ef' column of the .idx)
#   efsd     standard deviation over the ten replicates of each replicate's pay/Emax, as the simulator wrote it (the .idx)
#   pay      mean per-round payoff of the population, the numerator of E
#   ndist    number of distinct strategies with a non-zero count in the summed abundance
#   nrep     replicates found (10 at every game)
#   S_abc    pooled share of the population in the atom abc (efficient-stable-competitive, eps -> 0 atoms):
#            the abundance summed over the ten replicates and the sampled half, normalised, summed over the atom
#            (the atom 101 is empty at every game and has no column)
ipt,isl,E,efsd,pay,ndist,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111
0,1367,0.98094684756,0.0004363574,0.98094684756,65536,10,0.03588370146365954,0.012676970214210643,7.627231958686862e-05,0.0017245194269141465,0.9495668514961523,2.7651039780072333e-05,4.4034039697033535e-05
1,1370,0.98168431043,0.0001359984,0.98168431043,65536,10,0.0508279374972057,0.0,0.00029528204059892213,0.001838995723602987,0.9470131874382055,6.515999764489741e-07,2.3945700402768297e-05
2,1373,0.98232250451,0.0008222314,0.98232250451,65536,10,0.041810133104534505,0.012813827863544952,8.58323795573094e-05,0.0020867140271722735,0.9431485095256961,8.308499935204555e-06,4.6674599559595555e-05
3,1376,0.97802400169,0.0003551693,0.97802400169,65536,10,0.05049804081872664,0.0,0.0003737193799989498,0.001907648718286637,0.94716680086316,2.394090000460755e-05,2.984931982315554e-05
4,1379,0.9842176202,9.148007e-05,0.9842176202,65536,10,0.05489570243076329,0.0,0.00019880520048794822,0.0019860463843036926,0.9428928452046738,1.5082999903170535e-06,2.509247978383151e-05
5,1382,0.98316355684,0.0005317364,0.98316355684,65536,10,0.0372474941811941,0.012307491479550379,5.237146025148978e-05,0.001919269965113096,0.9484127842140678,3.3555039998713346e-05,2.70336598257459e-05
6,1385,0.98076461674,0.0001707604,0.98076461674,65536,10,0.0443152240632195,0.0,0.000856108759099804,0.0016285487186717298,0.9531665232589469,1.2693139989467672e-05,2.0902060070808293e-05
7,1388,0.984052423,0.001172444,0.984052423,65536,10,0.04811326870465528,0.016286821838261547,0.00011565384017945105,0.002089269019995288,0.9333221355170747,9.014800084997744e-06,6.383627975081247e-05
8,1391,0.98035537146,0.0007541567,0.98035537146,65536,10,0.032113431628887745,0.012430409691112438,6.963164031010084e-05,0.001673359930201974,0.9536428668494537,4.360370001160457e-05,2.6696560021860093e-05
9,1394,0.98336190388,0.0001915409,0.98336190388,65536,10,0.04670046882220463,0.0,0.0006351582819040395,0.0017002869630083487,0.9509435115126637,0.0,2.057442021690152e-05
10,1397,0.98495408012,0.000297229,0.98495408012,65536,10,0.023006418235397244,0.00997217802012976,0.00017169146527332263,0.0015312866081270118,0.9652895324308166,8.828660151987014e-06,2.0064580103468205e-05
11,1400,0.97908361791,0.0004912884,0.97908361791,65536,10,0.042192146547900725,0.0,0.0005126692209322397,0.0014984162009513606,0.9557279129100389,4.8398360126730994e-05,2.045676005046655e-05
12,1403,0.98796426803,7.764193e-05,0.98796426803,65536,10,0.05844606032859927,0.0,5.9306579932594376e-05,0.002103929570450445,0.9393618411409309,1.6896799817764762e-06,2.7172700102183793e-05
13,1406,0.98277535823,0.0005625077,0.98277535823,65536,10,0.030259598031541074,0.00962719072653999,2.6759919921837557e-05,0.0021296523137737692,0.9578758377685788,5.897959991359533e-05,2.1981639726461463e-05
14,1409,0.98256226692,5.438178e-05,0.98256226692,65536,10,0.03928955922664783,0.0,0.0013953757650687977,0.0014432377458066352,0.9578417177225743,1.1293819993632848e-05,1.8815719910004272e-05
15,1412,0.98753431845,0.0004465873,0.98753431845,65536,10,0.07697248666187347,0.01648347831855827,0.00037536985715233426,0.002979483275169845,0.9030824334885276,4.469742004045746e-05,6.205097867780822e-05
16,1415,0.97836352955,0.0001754443,0.97836352955,65536,10,0.019621588705337825,0.0058614764653337325,0.00021957604169200903,0.000984673505308325,0.973223771322195,7.099232045606255e-05,1.7921639677971844e-05
17,1418,0.98619962145,2.844143e-05,0.98619962145,65536,10,0.043404522088681764,0.0,9.444021979894758e-05,0.005823052271752715,0.14983366106413257,0.0,0.8008443243556345
18,1421,0.98520837457,0.0001052946,0.98520837457,65536,10,0.020668978103159135,0.008220291138347425,1.7210180027424334e-05,0.001505565034405268,0.9695228060839207,3.7410720369998214e-05,2.773873977018094e-05
19,1424,0.97966777923,9.301225e-05,0.97966777923,65536,10,0.03744424305028678,0.0,0.0015708077009361527,0.0013274656606275905,0.9595886739280143,5.1203140090684276e-05,1.7606520042561803e-05
