# replicates_c4_e4.csv -- memory-two Wright-Fisher run c4_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files c4_e4.{idx,win,rep} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 25000000 (runs.csv), isl from games_c4_e4.csv
#   E        the replicate's realised efficiency over its sampled second half (the .rep, 8 decimals)
#   R_abc    the share of the replicate's sampled population in the atom abc (the .rep, 8 decimals); the ten
#            replicates of a game average to the pooled S_abc of games_c4_e4.csv within 6.1e-09
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,E,R_000,R_100,R_010,R_001,R_110,R_011,R_111,top,top_atom,top_share,top_selfpay
0,1,25013671,0.99811687,0.00336862,0.00387888,9.3e-07,1.89e-05,0.99273234,2.8e-07,5e-08,35609,6,0.2265208,0.9992481
0,2,25013672,0.99650595,0.00972642,0.00928965,8.6e-07,0.00027059,0.98071204,2.7e-07,1.6e-07,36875,6,0.24087087,0.9994994
0,3,25013673,0.99499401,0.00844481,0.0115295,1.01e-06,0.00237098,0.889882,5.888e-05,0.08771281,34959,6,0.17828825,0.9994995
0,4,25013674,0.97071842,0.04181535,0.02119195,0.02061991,0.00274591,0.91342055,0.00020623,1e-07,39179,6,0.12037442,0.9993987
0,5,25013675,0.9971161,0.00587404,0.00641409,9.6e-07,6.768e-05,0.98759263,3.3e-07,5.028e-05,14793,6,0.23022216,0.9990981
0,6,25013676,0.99099044,0.01019875,0.01704619,0.00624342,0.00129325,0.96521784,5.1e-07,4e-08,63531,6,0.17853154,0.9996489
0,7,25013677,0.99915025,0.00052057,0.00051666,1.2e-06,1.943e-05,0.99894165,4.5e-07,4e-08,61385,6,0.99701124,0.9993989
0,8,25013678,0.99523988,0.00973927,0.00771677,1.23e-06,0.00081733,0.98170798,1.736e-05,5e-08,36313,6,0.16273306,0.9993988
0,9,25013679,0.99835806,0.0031438,0.00340577,9.4e-07,0.00014817,0.9933009,3.6e-07,5e-08,32909,6,0.27774082,0.9994993
0,10,25013680,0.98600342,0.00570744,0.01347295,0.03270597,0.00021272,0.94790048,3.7e-07,6e-08,31817,6,0.13122316,0.999498
1,1,25013701,0.99933109,0.00125176,0.0,5.1e-06,3.54e-05,0.99870699,1e-08,7.5e-07,59117,6,0.12938542,0.9996804
