# SI Table 4, recomputed by SITable4/sitable4.py from data/census/census.csv.
# pattern: position j = state j = 4*(most recent outcome) + (the outcome before), 1 = C, 0 = D, * = either.
# row_XY: the answers after the most recent outcome XY, for the outcome before CC, CD, DC, DD (C, D or *).
# The families of the wedge E are the mirror images of those of N (each pattern reversed and complemented):
# 101*0*0*1111*10*, 101*0*0*1111*01*, 10110*00*111*10*, 10110*00*111*01*
panel,wedge,family,pattern,members,row_CC,row_CD,row_DC,row_DD
a,W,1,111*000101*1*010,8,CCC*,DDDC,DC*C,*DCD
b,N,1,*10*0000*1*1*010,32,*CD*,DDDD,*C*C,*DCD
b,N,2,*01*0000*1*1*010,32,*DC*,DDDD,*C*C,*DCD
b,N,3,*10*000*11*10010,16,*CD*,DDD*,CC*C,DDCD
b,N,4,*01*000*11*10010,16,*DC*,DDD*,CC*C,DDCD
