# The 22872 cells of the arrangement of the 254 lines of m2_lines.csv over the plane of games (u, v).  A cell is
# an open convex region on which no line vanishes; it is identified by its sign vector.
# cell: index 0..22871 (numbered by first appearance in m2_faces.csv).
# sides: the sign vector as a hexadecimal integer, 0x followed by 64 hex digits: bit j (value 2^j) is 1 if
# A_j u + B_j v > C_j on the cell and 0 if A_j u + B_j v < C_j, for line j of m2_lines.csv.
# Read it with int(s, 16) >> j & 1.
cell,sides
72,0x3fffffffffffffffffffffffffffffffffffffffffffffffffffffffffd98e67
73,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffeffffd98e67
74,0x3ffffffffffffffffffffffffffffffffffffffffffffbfffffffeffffd98e67
75,0x3ffffffffffffffffffffffffffffffffffffffffffffffffffffe7fffd98e67
76,0x3ffffffffffffffffffffffffffffffffffffffffffffbfffffffe7fffd98e67
77,0x3fffffffffffffffffffffffffffffffffffffffffffebfffffffe7fffd98e67
78,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffefe3fc7ffbee7
79,0x3ffffffffffffffffffffffffffffffffffff7fffffffffdfffefe3fc7ffbee7
80,0x3ffffffffffffffffffffffffffffffffffff7fffffffffdfffefe1fc7ffbee7
81,0x3ffffffffffffffffffffffffffffdfffffff7fffffffffdfffefe1fc7ffbee7
82,0x3ffffffffffffffffffffffffffff9fffffff7fffffffffdfffefe1fc7ffbee7
83,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe3fe7ff9ee7
84,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe3fc7ff9ee7
85,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffefe3fc7ff9ee7
86,0x3ffffffffffffffffffffffffffffdfffffffffffffffffdfffefe3fc7ff9ee7
87,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffefe3fc7ff9ee7
88,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffefe1fc7ff9ee7
89,0x3ffffffffffffffffffffffffffffffffffff7fffffffffdfffefe3fc7ff9ee7
90,0x3ffffffffffffffffffffffffffffdfffffff7fffffffffdfffefe3fc7ff9ee7
91,0x3ffffffffffffffffffffffffffffffffffff7fffffffffdfffefe1fc7ff9ee7
92,0x3ffffffffffffffffffffffffffffdfffffff7fffffffffdfffefe1fc7ff9ee7
93,0x3ffffffffffffffffffffffffffff9fffffff7fffffffffdfffefe3fc7ff9ee7
94,0x3ffffffffffffffffffffffffffff9fffffff7fffffffffdfffefe1fc7ff9ee7
95,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfefefe1fc7ff9ee7
96,0x3ffffffffffffffffffffffffffff9fffffff7fffffffffdfefefe1fc7ff9ee7
97,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfefefe1fc7ff9ee7
98,0x3ffffffffffffffffffffffffffff9fffffff7fffffffffcfefefe1fc7ff9ee7
99,0x3fffffffffffffffbffffffffffff9fffffff7fffffffffcfefefe1fc7ff9ee7
100,0x3fffffffffffffffbffffffffffff9fffffff77ffffffffcfefefe1fc7ff9ee7
101,0x3fffffffffffffff9ffffffffffff9fffffff77ffffffffcfefefe1fc7ff9ee7
102,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe7fefff9e67
103,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe7feffb9e67
104,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe7feffb8e67
105,0x3ffffffffffffffffffffffffffffbfffffffffffffffffdfffffe7feffb9e67
106,0x3ffffffffffffffffffffffffffffbfffffffffffffffffdfffffe7feffb8e67
107,0x3ffffffffffffffffffffffffffffbfffffffffffffffbfdfffffe7feffb8e67
108,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffffe7feffb9e67
109,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffffe7feffb8e67
110,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfdfffffe7feffb8e67
111,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe7fe7ff9e67
112,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe7ffff98e67
113,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe7feff98e67
114,0x3ffffffffffffffffffffffffffffffffffffffffffffbfdfffffe7ffff98e67
115,0x3ffffffffffffffffffffffffffffffffffffffffffffbfdfffffe7feff98e67
116,0x3ffffffffffffffffffffffffffffbfffffffffffffffffdfffffe7feff98e67
117,0x3ffffffffffffffffffffffffffffbfffffffffffffffbfdfffffe7ffff98e67
118,0x3ffffffffffffffffffffffffffffbfffffffffffffffbfdfffffe7feff98e67
119,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfdfffffe7feff98e67
120,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe3feffb9e67
121,0x3ffffffffffffffffffffffffffffbfffffffffffffffffdfffffe3feffb9e67
122,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffffe3feffb9e67
123,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffffe3feffb8e67
124,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfdfffffe3feffb8e67
125,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe3fe7ff9e67
126,0x3ffffffffffffffffffffffffffffbfffffffffffffffffdfffffe3fe7ff9e67
127,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffffe3fe7ff9e67
128,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffefe3fe7ff9e67
129,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffefe3fc7ff9e67
130,0x3ffffffffffffffffffffffffffffffffffffffffffffffdfffffe3fe7fb9e67
131,0x3ffffffffffffffffffffffffffffbfffffffffffffffffdfffffe3fe7fb9e67
132,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffffe3fe7fb9e67
133,0x3ffffffffffffffffffffffffffff9fffffffffffffffffdfffefe3fe7fb9e67
134,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfcfffffe3feffb8e67
135,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfcfffefe3feffb8e67
136,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfffefe3fe7ff9e67
137,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfffefe3fc7ff9e67
138,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfffefe3fe7fb9e67
139,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfcfffefe3fe7fb9e67
140,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfcfffefe3fe7fb8e67
141,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfefefe3fc7ff9e67
142,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfefefe1fc7ff9e67
143,0x3fffffffffffffffbffffffffffff9fffffffffffffffffcfefefe3fc7ff9e67
144,0x3fffffffffffffffbffffffffffff9fffffffffffffffffcfefefe1fc7ff9e67
145,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfefefe3fe7fb9e67
146,0x3ffffffffffffffffffffffffffff9fffffffffffffffffcfefefe3fc7fb9e67
147,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfcfefefe3fe7fb9e67
148,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfcfefefe3fc7fb9e67
149,0x3fffffffffffffffbffffffffffff9fffffffffffffffffcfefefe3fc7fb9e67
150,0x3fffffffffffffffbffffffffffff9fffffffffffffffbfcfefefe3fe7fb9e67
151,0x3fffffffffffffffbffffffffffff9fffffffffffffffbfcfefefe3fc7fb9e67
152,0x3ffffffffffffffffffffffffffff9fffffff7fffffffffcfefefe1fc7ff9e67
153,0x3fffffffffffffffbffffffffffff9fffffff7fffffffffcfefefe1fc7ff9e67
154,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffffcfefefe1fc7ff9e67
155,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffbfcfefefe1fc7ff9e67
156,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffffcfefefe1fc7ff9e67
157,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffbfcfefefe1fc7ff9e67
158,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffbfcfefefe3fc7fb9e67
159,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffbfcfefefe1fc7fb9e67
160,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffbfcfefefe1fc7fb9e67
161,0x3fffffffffffffffbffffffffffff9fffffff77ffffffffcfefefe1fc7ff9e67
162,0x3fffffffffffffff9ffffffffffff9fffffff77ffffffffcfefefe1fc7ff9e67
163,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffbfcdefefe1fc7ff9e67
164,0x3fffffffffffffff9ffffffffffff9fffffff77ffffffffcdefefe1fc7ff9e67
165,0x3fffffffffffffff9ffffffffffff9fffffff77ffffffbfcdefefe1fc7ff9e67
166,0x3ffffffffffffffffffffffffffffffffffffffffffffbfdfffffe7fffd98e67
167,0x3ffffffffffffffffffffffffffffbfffffffffffffffbfdfffffe7fffd98e67
168,0x3ffffffffffffffffffffffffffffbfffffffffffffffbfdfffffe7fefd98e67
169,0x3ffffffffffffffffffffffffffff9fffffffffffffffbfdfffffe7fefd98e67
170,0x3fffffffffffffffffffffffffffffffffffffffffffebfdfffffe7fffd98e67
171,0x3ffffffffffffffffffffffffffffbffffffffffffffebfdfffffe7fffd98e67
172,0x3ffffffffffffffffffffffffffffbffffffffffffffebfdfffffe7fefd98e67
173,0x3ffffffffffffffffffffffffffff9ffffffffffffffebfdfffffe7fefd98e67
174,0x3ffffffffffffffffffffffffffff9fffffffffffffffafdfffffe7feff98e67
175,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfffffe7feff98e67
176,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafdfffffe7feff98e67
177,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafcfffffe7feff98e67
178,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffffe7feff98e67
179,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfffffe3feffb8e67
180,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfffefe3feffb8e67
181,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfffefe3fe7fb8e67
182,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfffffe3feff98e67
183,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfffefe3feff98e67
184,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafcfffffe3feff98e67
185,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafcfffefe3feff98e67
186,0x3fffffffffffffffbffffffffffff9ffffffffffffffeafcfffefe3feff98e67
187,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffffe3feff98e67
188,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffefe3feff98e67
189,0x3fffffffffffffffbffffffffffff9ffffffffffffffe2fcfffefe3feff98e67
190,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfefefe3feffb8e67
191,0x3fffffffffffffffbffffffffffff9fffffffffffffffafcfefefe3feffb8e67
192,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfefefe3fe7fb9e67
193,0x3ffffffffffffffffffffffffffff9fffffffffffffffafcfefefe3fe7fb8e67
194,0x3fffffffffffffffbffffffffffff9fffffffffffffffafcfefefe3fe7fb9e67
195,0x3fffffffffffffffbffffffffffff9fffffffffffffffafcfefefe3fe7fb8e67
196,0x3fffffffffffffffbffffffffffff9ffffffffffffffeafcfefefe3feffb8e67
197,0x3fffffffffffffffbffffffffffff9ffffffffffffffeafcfefefe3feff98e67
198,0x3fffffffffffffffbffffffffffff9ffffffffffffffe2fcfefefe3feff98e67
199,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffafcfefefe3feffb8e67
200,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffafcfefefe3fe7fb9e67
201,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffafcfefefe3fe7fb8e67
202,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffafcfefefe3fc7fb9e67
203,0x3fffffffffffffffbffffffffffff9ffffffff7ffffffafcfefefe1fc7fb9e67
204,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcfefefe3fe7fb9e67
205,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcfefefe3fe7fb8e67
206,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcfefefe3fc7fb9e67
207,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcfefefe1fc7fb9e67
208,0x3fffffffffffffffbffffffffffff9ffffffff7fffffeafcfefefe3feffb8e67
209,0x3fffffffffffffffbffffffffffff9ffffffff7fffffeafcfefefe3fe7fb8e67
210,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffeafcfefefe3fe7fb8e67
211,0x3fffffffffffffffbffffffffffff9ffffffff7fffffeafcfefefe3feff98e67
212,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcdefefe1fc7ff9e67
213,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcdefefe3fe7fb8e67
214,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcdefefe1fe7fb8e67
215,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcdefefe1fc7fb9e67
216,0x3fffffffffffffff9ffffffffffff9ffffffff7ffffffafcdefefe1fc7fb8e67
217,0x3fffffffffffffff9ffffffffffff9fffffff77ffffffafcdefefe1fc7ff9e67
218,0x3fffffffffffffff9ffffffffffff9fffffff77ffffffafcdefefe1fc7fb9e67
219,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffeafcdefefe3fe7fb8e67
220,0x3fffffffffffffffbffffffffffff9ffffffff7fffffe2fcfefefe3feff98e67
221,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffe2fcdefefe3fe7fb8e67
222,0x3fffffffffffffffbffffffffffff9ffffffff7fffffe2fcdefefe3feff98e67
223,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffe2fcdefefe3feff98e67
224,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffe2fcdefefe3fe7f98e67
225,0x3fffffffffffffffbffffffffffff9ffffffff7fffffc2fcdefefe3feff98e67
226,0x3fffffffffffffff9ffffffffffff9ffffffff7fffffc2fcdefefe3feff98e67
227,0x3fffffffffffffffffffffffffffffffffffffffffffeafdfffffe7fffd98e67
228,0x3ffffffffffffffffffffffffffffbffffffffffffffeafdfffffe7fffd98e67
229,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafdfffffe7fffd98e67
230,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafdfffffe7fefd98e67
231,0x3ffffffffffffffffffffffffffff9ffffffffffffffeafcfffffe7fefd98e67
232,0x3ffffffffffffffffffffffffffffbffffffffffffffe2fdfffffe7fffd98e67
233,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fdfffffe7fffd98e67
234,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fdfffffe7fefd98e67
235,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffffe7fffd98e67
236,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffffe7fefd98e67
237,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fdfffffe7fffd98e67
238,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe7fffd98e67
239,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe7fefd98e67
240,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffffe3fefd98e67
241,0x3ffffffffffffffffffffffffffff9ffffffffffffffe2fcfffefe3fefd98e67
242,0x3fffffffffffffffbffffffffffff9ffffffffffffffe2fcfffefe3fefd98e67
243,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffffe3fefd98e67
244,0x3ffffffffffffffffffffffffffff9ffffffffffffffc2fcfffefe3fefd98e67
