# The 27598 polygons of the memory-two arrangement drawn in Figures 1c, 2h-n and 3e-h (they draw its 22872 faces, the
# cells of m2_cells.csv), in the order of m2_faces_k4.npz, with the counts over the 65536 binary memory-two
# strategies on each.  The columns call a polygon a face, as the companion drawing does.
# Conventions: a game is (R, S, T, P) = (1, u, 1 + v, 0); the limit eps -> 0.  An atom is written
# efficient-stable-competitive; A_xyz is the number of strategies in atom xyz, in the order 000 100 010 001 110 011
# 111 (the atom 101 is empty everywhere, so the seven add up to the number of strategies).
# face: index 0..27597.  cell: the cell of m2_cells.csv the face lies in (a cell is one face, or, for 771 cells,
# several bands of it: the companion work cut them for a field it draws; every count below is constant on a cell).
# u, v: a game strictly inside the face (a convex combination of its vertices mapped to the plane, with the weights
# 1 + 0.1 sin(j + 1) of fig1.py; repr of a double).  quadrant: PD (u < 0 < v), SD (u, v > 0), SH (u, v < 0), HA
# (v < 0 < u).  wedge: W (u+v < 1, u-v < 1), S (u+v < 1, u-v > 1), N (u+v > 1, u-v < 1), E (u+v > 1, u-v > 1).
# nash: the number of stable strategies on the face (299 to 22069).  partners: efficient and stable (8 to 7639).
# A_000 ... A_111: the atoms.  case: the case number of Figure 1 (cases.csv), the set of non-empty atoms.
face,cell,u,v,quadrant,wedge,nash,partners,A_000,A_100,A_010,A_001,A_110,A_011,A_111,case
48,48,2.6529324967579306,0.793568209421517,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
49,49,2.2543562760760416,0.7031128355776418,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
50,50,2.3419507293876136,0.9461812053868218,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
51,51,2.0898270844703153,0.814989500035936,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
52,52,1.9347023953210707,0.8505089675084591,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
53,53,2.883218897322931,0.5806842550127883,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
54,54,2.6397194818802294,0.6456532646132445,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
55,55,93.39102811615118,0.45102882786623644,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
56,56,5.451596000204588,0.43471884587511234,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
57,57,5.203712952384124,0.46871305857465156,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
58,58,85.58243196027188,0.36704607620260027,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
59,59,83.80468895097626,0.2919073099012581,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
60,60,5.437363435592081,0.36651585330157727,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
61,61,5.42821256461562,0.29237287281579055,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
62,62,79.97366424378406,0.20899434198881436,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
63,63,5.437363435592081,0.20814481662697154,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
64,64,4.006601766515393,0.44473399822762266,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
65,65,4.846400516401057,0.3520460909471254,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
66,66,4.115715571387073,0.371776482121846,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
67,67,4.624273849584901,0.28031289402640613,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
68,68,4.167681914291606,0.3071225865955338,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
69,69,3.2452127712556416,0.48612282569780224,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
70,70,4.54605663580338,0.20879249431721264,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
71,71,4.116547097692007,0.24311292306835663,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
72,72,74.52418132292107,0.12549678374301154,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
73,73,5.463526614691482,0.12591396217847078,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
74,74,5.062560569110062,0.0884360249775972,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
75,75,4.687034726844373,0.14925289710689546,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
76,76,4.677198634432654,0.11737982049759552,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
77,77,4.709747766338202,0.08946454026464258,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
78,78,2.2244660402736676,0.6779307936957125,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
79,79,2.07221321131868,0.7046673588070761,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
80,80,1.861814609835745,0.724315770876698,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
81,81,1.7802285250702472,0.6841703608891534,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
82,82,1.714752077295371,0.6730450312219963,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
83,83,2.738927600970419,0.5178420812456829,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
84,84,2.5161969232234527,0.5886570449691536,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
85,85,2.271438693426188,0.5991885407111924,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
86,86,2.252444306309001,0.5623088573749662,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
87,87,2.227247228221725,0.5326713011165827,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
88,88,1.962284412509725,0.5462886192902331,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
89,89,2.0488403684531216,0.6504125591115713,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
90,90,2.0159309753687116,0.6219803664657363,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
91,91,1.9552302509817419,0.6584153292764547,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
92,92,1.902778898709717,0.6475108625373847,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
93,93,2.0063346523656453,0.6086928576664548,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
94,94,1.8501009154888761,0.6219460994966876,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
95,95,1.9370367966577544,0.5219293038782201,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
96,96,1.7538681103987988,0.5897661322012823,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
97,97,1.9117500584672809,0.5064686946616441,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
98,98,1.7264515196125045,0.5475984963988119,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
99,99,1.674665698747526,0.5380408794386443,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
100,100,1.6456974971384486,0.5357606756024011,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
101,101,1.5909532996986269,0.5167019045966521,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
102,102,3.207101458027341,0.41076074260389656,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
103,103,3.3094173506272955,0.36639763765747124,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
104,104,3.5868350093466046,0.2914421171249859,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
105,105,3.102399655732628,0.3515495570914,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
106,106,3.349480602302543,0.2912657756806116,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
107,107,3.4322513859237365,0.25457854676503294,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
108,108,3.0460968291547803,0.3427521297623036,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
109,109,3.1718891194429424,0.2945908118090886,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
110,110,3.1965436795454463,0.2654410560458742,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
111,111,3.1023996557326283,0.44633094964615483,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
112,112,4.1676148714087065,0.19264958834476711,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
113,113,3.852711886726291,0.23553930242449533,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
114,114,4.091549462976774,0.17754829929977894,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
115,115,3.83088856460922,0.20704089933618822,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
116,116,3.5773813617030576,0.24447191906228388,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
117,117,3.8888347007823207,0.16934170825365447,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
118,118,3.6711860309131286,0.20669503123694327,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
119,119,3.3304323309543076,0.22368977968724696,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
120,120,2.988643417640736,0.39249876866359684,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
121,121,2.9739103972683543,0.3811180590454054,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
122,122,2.8450294442021096,0.3443931819791913,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
123,123,2.8440989762256135,0.3244311441991234,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
124,124,2.844098976225614,0.30223681867612373,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
125,125,2.7618696771835864,0.4695260144295671,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
126,126,2.71045297910828,0.4472894316026087,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
127,127,2.6769443455858055,0.4365680847791384,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
128,128,2.446689483471421,0.4327984245679988,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
129,129,2.261072399029582,0.4821579187543172,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
130,130,2.9658386691244143,0.3977286835281472,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
131,131,2.920079465017542,0.3946021731759449,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
132,132,2.7530498367808782,0.3777327608646444,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
133,133,2.543285598823344,0.37952838239400655,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
134,134,2.8280828275051397,0.28574163858983326,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
135,135,2.6250472962526126,0.30575656824677244,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
136,136,2.3004655657946063,0.4070838505582618,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
137,137,2.1491278933885085,0.4473643134483777,SD,E,1568,1568,59904,1504,0,2560,1488,0,80,6
138,138,2.425926500277894,0.3696740617517323,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
139,139,2.45898239182643,0.344728373720342,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
