# DiskM2WF: 19 donation (DonationWF scale) + 19 donation (lam=1) + 16x8 disk grid + 17x17 square + 512-point sunflower (BinM2Ev ca6)
#   gid   ic                       cR                       cS                       cT                    u                    v tag
   204    0   1.0000000000000000e+00   3.5276684147527875e+00   1.0000000000000000e+00   3.527668414753e+00   0.000000000000e+00 D_a00_r4_BD
   205    0   1.0000000000000000e+00   4.5355736761107259e+00   1.0000000000000000e+00   4.535573676111e+00   0.000000000000e+00 D_a00_r5_BD
   206    0   1.0000000000000000e+00   5.9329587896765306e+00   1.0000000000000000e+00   5.932958789677e+00   0.000000000000e+00 D_a00_r6_BD
   207    0   1.0000000000000000e+00   8.3266639978645287e+00   1.0000000000000000e+00   8.326663997865e+00   0.000000000000e+00 D_a00_r7_BD
   208    0   1.0000000000000000e+00   1.5491933384829682e+01   1.0000000000000000e+00   1.549193338483e+01   0.000000000000e+00 D_a00_r8_BD
   209    0   1.0000000000000000e+00   9.5417867821816182e-01   1.3952337494451961e+00   9.541786782182e-01   3.952337494452e-01 D_a01_r1_SD
   210    0   1.0000000000000000e+00   1.7752694865520717e+00   1.7353406981969890e+00   1.775269486552e+00   7.353406981970e-01 D_a01_r2_SD
   211    0   1.0000000000000000e+00   2.4915178150068558e+00   2.0320204698700195e+00   2.491517815007e+00   1.032020469870e+00 D_a01_r3_SD
   212    0   1.0000000000000000e+00   3.2591406458766370e+00   2.3499802572035118e+00   3.259140645877e+00   1.349980257204e+00 D_a01_r4_SD
   213    0   1.0000000000000000e+00   4.1903236875556757e+00   2.7356889021188007e+00   4.190323687556e+00   1.735688902119e+00 D_a01_r5_SD
   214    0   1.0000000000000000e+00   5.4813391930150832e+00   3.2704450337140436e+00   5.481339193015e+00   2.270445033714e+00 D_a01_r6_SD
   215    0   1.0000000000000000e+00   7.6928344417256422e+00   4.1864763588536178e+00   7.692834441726e+00   3.186476358854e+00 D_a01_r7_SD
   216    0   1.0000000000000000e+00   1.4312680173272430e+01   6.9285062416779404e+00   1.431268017327e+01   5.928506241678e+00 D_a01_r8_SD
   217    0   1.0000000000000000e+00   7.3029674334022143e-01   1.7302967433402214e+00   7.302967433402e-01   7.302967433402e-01 D_a02_r1_SD
   218    0   1.0000000000000000e+00   1.3587324409735151e+00   2.3587324409735149e+00   1.358732440974e+00   1.358732440974e+00 D_a02_r2_SD
   219    0   1.0000000000000000e+00   1.9069251784911847e+00   2.9069251784911847e+00   1.906925178491e+00   1.906925178491e+00 D_a02_r3_SD
   220    0   1.0000000000000000e+00   2.4944382578492945e+00   3.4944382578492941e+00   2.494438257849e+00   2.494438257849e+00 D_a02_r4_SD
   221    0   1.0000000000000000e+00   3.2071349029490928e+00   4.2071349029490914e+00   3.207134902949e+00   3.207134902949e+00 D_a02_r5_SD
   222    0   1.0000000000000000e+00   4.1952353926806056e+00   5.1952353926806047e+00   4.195235392681e+00   4.195235392681e+00 D_a02_r6_SD
   223    0   1.0000000000000000e+00   5.8878405775518994e+00   6.8878405775518985e+00   5.887840577552e+00   5.887840577552e+00 D_a02_r7_SD
   224    0   1.0000000000000000e+00   1.0954451150103344e+01   1.1954451150103342e+01   1.095445115010e+01   1.095445115010e+01 D_a02_r8_SD
   225    0   1.0000000000000000e+00   3.9523374944519607e-01   1.9541786782181618e+00   3.952337494452e-01   9.541786782182e-01 D_a03_r1_SD
   226    0   1.0000000000000000e+00   7.3534069819698922e-01   2.7752694865520717e+00   7.353406981970e-01   1.775269486552e+00 D_a03_r2_SD
   227    0   1.0000000000000000e+00   1.0320204698700199e+00   3.4915178150068558e+00   1.032020469870e+00   2.491517815007e+00 D_a03_r3_SD
   228    0   1.0000000000000000e+00   1.3499802572035122e+00   4.2591406458766370e+00   1.349980257204e+00   3.259140645877e+00 D_a03_r4_SD
   229    0   1.0000000000000000e+00   1.7356889021188011e+00   5.1903236875556757e+00   1.735688902119e+00   4.190323687556e+00 D_a03_r5_SD
   230    0   1.0000000000000000e+00   2.2704450337140440e+00   6.4813391930150832e+00   2.270445033714e+00   5.481339193015e+00 D_a03_r6_SD
   231    0   1.0000000000000000e+00   3.1864763588536187e+00   8.6928344417256422e+00   3.186476358854e+00   7.692834441726e+00 D_a03_r7_SD
   232    0   1.0000000000000000e+00   5.9285062416779413e+00   1.5312680173272430e+01   5.928506241678e+00   1.431268017327e+01 D_a03_r8_SD
   233    0   1.0000000000000000e+00   6.3240488774452239e-17   2.0327955589886444e+00   6.324048877445e-17   1.032795558989e+00 D_a04_r1_SD
   234    0   1.0000000000000000e+00   1.1766025860646501e-16   2.9215378456610459e+00   1.176602586065e-16   1.921537845661e+00 D_a04_r2_SD
   235    0   1.0000000000000000e+00   1.6513134071023905e-16   3.6967994498529686e+00   1.651313407102e-16   2.696799449853e+00 D_a04_r3_SD
   236    0   1.0000000000000000e+00   2.1600739162901094e-16   4.5276684147527870e+00   2.160073916290e-16   3.527668414753e+00 D_a04_r4_SD
   237    0   1.0000000000000000e+00   2.7772378923729976e-16   5.5355736761107259e+00   2.777237892373e-16   4.535573676111e+00 D_a04_r5_SD
   238    0   1.0000000000000000e+00   3.6328894956252587e-16   6.9329587896765306e+00   3.632889495625e-16   5.932958789677e+00 D_a04_r6_SD
   239    0   1.0000000000000000e+00   5.0986112062801489e-16   9.3266639978645287e+00   5.098611206280e-16   8.326663997865e+00 D_a04_r7_SD
   240    0   1.0000000000000000e+00   9.4860733161678456e-16   1.6491933384829682e+01   9.486073316168e-16   1.549193338483e+01 D_a04_r8_SD
   241    0   1.0000000000000000e+00  -3.9523374944519596e-01   1.9541786782181618e+00  -3.952337494452e-01   9.541786782182e-01 D_a05_r1_PD
   242    0   1.0000000000000000e+00  -7.3534069819698900e-01   2.7752694865520717e+00  -7.353406981970e-01   1.775269486552e+00 D_a05_r2_PD
   243    0   1.0000000000000000e+00  -1.0320204698700197e+00   3.4915178150068558e+00  -1.032020469870e+00   2.491517815007e+00 D_a05_r3_PD
   244    0   1.0000000000000000e+00  -1.3499802572035116e+00   4.2591406458766370e+00  -1.349980257204e+00   3.259140645877e+00 D_a05_r4_PD
   245    0   1.0000000000000000e+00  -1.7356889021188007e+00   5.1903236875556757e+00  -1.735688902119e+00   4.190323687556e+00 D_a05_r5_PD
   246    0   1.0000000000000000e+00  -2.2704450337140432e+00   6.4813391930150823e+00  -2.270445033714e+00   5.481339193015e+00 D_a05_r6_PD
   247    0   1.0000000000000000e+00  -3.1864763588536165e+00   8.6928344417256405e+00  -3.186476358854e+00   7.692834441726e+00 D_a05_r7_PD
   248    0   1.0000000000000000e+00  -5.9285062416779395e+00   1.5312680173272430e+01  -5.928506241678e+00   1.431268017327e+01 D_a05_r8_PD
   249    0   1.0000000000000000e+00  -7.3029674334022132e-01   1.7302967433402214e+00  -7.302967433402e-01   7.302967433402e-01 D_a06_r1_PD
   250    0   1.0000000000000000e+00  -1.3587324409735149e+00   2.3587324409735153e+00  -1.358732440974e+00   1.358732440974e+00 D_a06_r2_PD
   251    0   1.0000000000000000e+00  -1.9069251784911845e+00   2.9069251784911847e+00  -1.906925178491e+00   1.906925178491e+00 D_a06_r3_PD
   252    0   1.0000000000000000e+00  -2.4944382578492941e+00   3.4944382578492945e+00  -2.494438257849e+00   2.494438257849e+00 D_a06_r4_PD
   253    0   1.0000000000000000e+00  -3.2071349029490919e+00   4.2071349029490932e+00  -3.207134902949e+00   3.207134902949e+00 D_a06_r5_PD
   254    0   1.0000000000000000e+00  -4.1952353926806047e+00   5.1952353926806056e+00  -4.195235392681e+00   4.195235392681e+00 D_a06_r6_PD
   255    0   1.0000000000000000e+00  -5.8878405775518985e+00   6.8878405775518994e+00  -5.887840577552e+00   5.887840577552e+00 D_a06_r7_PD
   256    0   1.0000000000000000e+00  -1.0954451150103342e+01   1.1954451150103344e+01  -1.095445115010e+01   1.095445115010e+01 D_a06_r8_PD
   257    0   1.0000000000000000e+00  -9.5417867821816182e-01   1.3952337494451961e+00  -9.541786782182e-01   3.952337494452e-01 D_a07_r1_PD
