# The memory-one Wright-Fisher run m1_N1000 whole: N = 1000, beta = 100, mu = 1e-2, eps = 1e-4, 10 replicates of 1e7
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw1_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N1000.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
0,50000000000,66843579,68981969,40481842,50055808,36363176,50021858,31397583,34945789,95625578,47945391524,50016122,70797560,49219736,1336693750,31406015,41758111
1,50000000000,39765198,59836873,34688511,41681666,33795282,41400920,31428802,40151201,67508758,47845827266,41359882,88133016,40533736,1503082935,31429643,59376311
2,50000000000,68621791,94154244,63352413,68582913,42040581,68442835,32398088,41933506,98170775,47732638090,67946356,97964603,67940446,1354141942,32426571,69244846
3,50000000000,41368695,67597608,34559137,41007386,32184939,40283447,31343640,32873929,69978252,47966028329,40939454,68901995,40117736,1422769259,31343493,38702701
4,50000000000,47403920,67394678,47138944,73275536,51981899,262083901,48724794,4006779132,74564950,38105869128,72592101,108970171,74190718,1499916430,50720024,5408393674
5,50000000000,96558802,103395131,66214402,67910354,41366520,67405478,31428240,34774060,106732404,47788936995,67470555,70774691,67398679,1316461507,31442570,41729612
6,50000000000,33910696,40578538,31999278,39457919,31616969,39114917,31341238,33245574,65671141,47973646662,39002455,69993059,38521170,1459247398,31334096,41318890
7,50000000000,66976062,79335792,66532114,73486159,65828947,73286303,41884985,71070820,96301832,47615842305,73615198,108142078,73591858,1353285157,41884198,98936192
8,50000000000,68332509,91115883,40143742,41421968,32672763,40885906,31335383,32459980,97108113,48009294348,41416193,57380042,40483967,1309792303,31354168,34802732
9,50000000000,42380409,63149625,42405137,90653651,77734966,1019007027,80858148,20637315388,52152737,93389371,52068704,110418823,93661099,1203657547,98195589,26242951779
10,50000000000,104918331,106737187,73500542,91193823,68077660,91004321,32962837,42056648,109598747,47497233245,91690265,97383402,91233956,1400479708,32959465,68969863
11,50000000000,39175439,42228432,31903338,34467029,31536055,34070504,31318341,31909549,67274761,48031808822,34363313,47706156,33814401,1443388622,31321467,33713771
12,50000000000,66058724,82206209,66661544,92291493,81286657,650803487,90819163,11749408628,90544812,19026539208,91007531,121836248,96327768,1396963011,97003520,16200241997
13,50000000000,104792570,107142970,66873685,66681792,40125137,66423982,31369119,32766510,108710030,47805764797,66491585,67578130,66322506,1302271584,31388035,35297568
14,50000000000,33384722,47502312,33386706,69795772,64270230,1062572320,66015987,21510366437,35302045,69875251,35363611,106837852,70686572,1175766223,74637883,25544236077
15,50000000000,298375330,290695964,18266425064,628010909,65577698,74792866,64656329,91113350,237362951,22102213637,4380732307,392526937,85367202,2416858081,272846739,332444636
16,50000000000,61171863,68844081,34260194,36269158,31685898,35638185,31342664,31614234,90111571,48050166319,36007118,41583939,35226957,1351810253,31344433,32923133
17,50000000000,38371594,57505122,38396385,86719146,77252049,1041160739,79485184,20680954438,41045506,87992644,41257837,108041545,90707998,1189907517,94922049,26246280247
18,50000000000,108494717,110275780,96952012,92901117,68322113,92536637,31564742,35267473,113088843,47549427933,92903247,73056059,92945063,1366580163,31572366,44111735
19,50000000000,32987153,42994988,32645876,42591147,39387339,233841833,39466716,3387080289,40604326,38520349779,33919573,62039904,42755943,1328134715,42464242,6078736177
20,50000000000,115242527,102401951,1610851944,168814103,71744815,95215938,105463903,121198947,112869622,42253334954,1574406892,1575995841,97939302,1610320593,134102887,250095781
21,50000000000,98258639,105131669,41876449,41572952,33878376,41287002,31348206,31633853,106745697,47968096709,41607226,41629503,40604309,1312059802,31348326,32921282
22,50000000000,31476208,38667636,31458718,66296194,54583849,1008159378,55651643,21222151483,31636692,56333878,31679422,98950184,62836073,1151141711,66398963,25992577968
23,50000000000,71285780,71753636,71354028,99538799,9721247316,433612518,93655960,114977368,97842377,135945876,81760404,125644497,12597318781,26058541897,101790729,123730034
24,50000000000,64923279,80975574,61890266,85018661,74401341,797946932,78205697,8210640773,86018456,14514496537,74262477,92136917,76816738,1217657681,82094195,24402514476
25,50000000000,53338695,74818348,53586289,97301078,89988014,1041690699,91688272,19327935110,67014713,101912890,67449929,107827234,102354291,1192759986,102810126,27427524326
26,50000000000,112290381,115671882,86634192,70246978,51043584,70123857,31415636,32777674,120984167,47740917497,70026934,67331359,69644149,1293779355,31416714,35695641
27,50000000000,31490087,37549179,31484997,65804339,49606896,1020454982,50534346,21451293918,31538905,49930234,31544419,98762010,61829874,1082962356,62887968,25842325490
28,50000000000,394547168,340182290,26672997607,750310901,54048840,52186291,72206684,129550344,212853348,187014268,14669359703,3952067250,69425567,73307418,374887691,1995054630
29,50000000000,69375202,96971598,34716824,36097545,31758160,35483703,31341474,31570802,101095716,48049770866,36127775,40363123,35106803,1306238697,31339017,32642695
30,50000000000,31386239,38275634,31387109,66056140,54108284,1022071133,56047791,21147129368,31514880,55421809,31601021,98791057,63508636,1160484452,66950788,26045265659
31,50000000000,80621962,80710430,80741554,102031999,9671343970,436624836,94220443,92561873,109117340,135889028,85759086,109493972,12378549455,26332711544,101738445,107884063
32,50000000000,31962432,38991082,31556763,31964501,31432092,31870371,31332833,31597607,40753767,48164859817,31849626,41253737,31783223,1364505588,31324551,32962010
33,50000000000,93484731,98333884,94897394,111970231,110130382,816278527,112211355,3012090958,102003473,115329498,102764808,141994906,115231619,1328284790,117977105,43527016339
34,50000000000,109353516,110562754,69382975,61024295,39585757,60753993,31361113,31607245,112674700,47860281181,60820121,41472043,60552668,1286309951,31365484,32892204
35,50000000000,31366077,32685501,31361136,40788441,39076361,1004438052,39808659,21408715325,31356905,38982683,31366489,71980746,39489884,1070782085,40431055,26047370601
36,50000000000,349755900,323780231,35323083063,2059462855,46725440,43782937,56250246,83134291,354064805,296064934,9534731465,622998067,59558736,60759346,298948976,486898708
37,50000000000,62612288,84564581,58442319,78498046,67624762,851910064,69325048,22545023149,91098246,19332331649,78155466,99773369,74988551,1337301224,82975682,5085375556
