# The memory-one Wright-Fisher run m1_N100 whole: N = 100, beta = 3, mu = 1e-4, eps = 1e-4, 10 replicates of 1e8
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw2_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N100.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
42,50000000000,1725340351,1658122252,46288552,61994062,166383840,179518451,1650021,36731785,242459106,45731569341,16896165,42002735,33188625,31461349,9364930,17028435
43,50000000000,363270,450613,363670,619572,566346,8585287,568345,25499116338,361115,536199,361463,926524,605704,10974762,606665,24474994127
44,50000000000,560867861,444495852,41449695460,36877222,45480317,63761946,1727942,1759422,85168683,2013349608,135726521,9963449,120185286,5014669809,10097466,6173156
45,50000000000,523128,618528,392202,402963,359401,406442,322906,336695,4998927145,44986783911,415922,472346,1361417,7982657,328544,365793
46,50000000000,753720,1080716,759318,1820974,1467175,13672922,1688166,25233125046,937252,22432303,944083,30808316,1968558,313839489,3574572,24371127390
47,50000000000,18039557036,16923260347,1497893100,210808373,1643581738,2718282256,16665746,201367635,985353057,4804929443,200301912,221972105,1282383279,869177511,229248683,155217779
48,50000000000,353488,422776,353381,572209,524087,7528050,522304,25504806824,348247,491550,348376,835250,550974,8924109,552238,24472866137
49,50000000000,1548483,1297871,137450268,1592880,464821752,62265166,11274373,2046408,1367417,3124145,63412423,3400280,2232012071,46994050128,17802141,2534194
50,50000000000,29444881,33940331,1178739,511452,1038639,2382935,337726,750861,3861864,49912489387,572817,1525088,540854,9931373,408671,1084382
51,50000000000,380614,490772,380931,683038,621237,9819797,624289,25218354289,380015,597134,378335,1048578,682445,13787985,678611,24751091930
52,50000000000,19009209202,3134216079,3150527113,750892492,1979565179,4286764292,9519270,168089675,694398171,3490028360,301268484,722675734,3766358677,8086103279,190887719,259496274
53,50000000000,390990,489727,380006,587765,534886,4509726,527396,14416132628,450836,19994851710,392419,892610,593660,8332929,572267,15570360445
54,50000000000,753375,856209,796707,1390740,69960379,31585400,9774354,157067707,1088002,4604067,1268850,861656496,207255536,48455728285,15319782,180894111
55,50000000000,16396787364,15624669858,780464897,190849433,1509652915,1563554734,16693935,213501190,1217960036,11058566497,152614220,267670507,421508539,314122779,109652563,161730533
56,50000000000,343068,398485,343979,526097,486574,7951431,483809,24674563625,339229,451444,339618,753171,501905,9735752,501471,25302280342
57,50000000000,26871686,20878757,11259913323,16078935,682002818,77490942,8131701,1573943,10258821,489107356,39772832,6580969,3711256403,33630243091,15038989,4799434
58,50000000000,538524,669965,383505,401707,350884,401602,319165,328895,817300,49985268298,400857,444433,401674,8599161,320741,353289
59,50000000000,462606,641854,464445,926401,844415,11993164,833567,25399616206,488189,855448,488855,1595342,976522,24185223,978877,24554648886
60,50000000000,15866431127,14884121018,1751011683,275097376,2605003323,4765585757,13169860,126584628,1061061164,1643302582,235850170,147742877,4085224467,2190250709,243101079,106462180
61,50000000000,350403,407020,348296,514887,470561,5802287,466075,20823817251,366085,9997614307,351643,755055,493487,8305771,485352,19159451520
62,50000000000,96316999,19025852,8083458931,3002912029,209895296,20253757,4380962,25594737,211563137,3551143,12468419003,13001794825,1113372205,11479826249,9371397,250263478
63,50000000000,2217949330,1998682810,43077769,119381810,221002994,249536751,2325497,46975393,221017133,44740420301,17257435,49458821,20564858,22588592,10340230,19420276
64,50000000000,345425,406004,345918,542937,498270,8854498,498765,24592406618,342293,465176,343085,780005,518173,11490673,518795,25381643365
65,50000000000,11718950514,5106461449,22670999723,118192688,124509809,235484865,2816709,8734547,187087037,3499349140,1711265144,168733115,486825236,3861273270,55750676,43566078
66,50000000000,449131,577010,422546,732397,676952,5616741,666110,20336268971,4998950782,4999310438,435332,1141060,1586439,7299527,762801,19645103763
67,50000000000,540123,662533,537749,1026324,30351874,23792970,8675803,965858347,766680,8916627,768391,149294131,66386513,47657828156,12873457,1071720322
68,50000000000,19370926826,18728863948,1313493529,211949953,1745405877,2430728309,20819789,197854006,993686393,2845079796,192557617,248884994,729965916,591573132,212148179,166061736
69,50000000000,335849,375837,336497,480447,441535,7363972,442811,25188406299,331189,411653,332157,661723,453277,8662585,451679,24790512490
70,50000000000,1274047,1243411,28354971,1347638,1719676316,122665556,6540087,1230917,1051527,1598390,8861046,2495998,10887493404,37205876206,8846571,1443915
71,50000000000,710118,900764,404450,408866,352702,408595,317796,326758,1113620,49984344451,407898,416769,408789,8815751,318499,344174
72,50000000000,370089,465372,370309,645827,592666,10451534,588358,24768299456,368005,562365,368140,974332,633079,15980714,635222,25198694532
73,50000000000,15462923436,12343017972,1844252763,960293176,1949294286,4157671816,6274819,197338572,481889822,2630678284,211216287,985478188,3628455161,4626031057,168854116,346330245
74,50000000000,352475,412189,349263,516720,474426,5493197,473610,19850910529,369920,9997718871,351866,746857,501970,7847175,491483,20132989449
75,50000000000,10369857,4632716,18313810,18098145,49303889,5898419,7583421,16224929,14476010,3383771,26661823,46921910180,233753326,2642087907,10407596,16894201
76,50000000000,16853252850,15593827421,513086148,1814617691,1678070499,2952494969,19300049,202869155,1204642029,8102713264,134023690,247848705,272219365,192061123,78682902,140290140
77,50000000000,332228,370677,333145,467227,434144,7988217,433553,24953731201,329432,405341,329623,641973,441399,9746319,440279,25023575242
78,50000000000,25090738,24783877,49900316016,8669289,420308,844060,553785,992788,7039956,13405656,3651665,3876675,1707771,1818532,3244533,3584351
79,50000000000,544645,626576,382241,389515,366292,556370,337771,760392390,9997587138,38596074171,392252,440909,2004007,6459830,352937,633092956
80,50000000000,491533,685625,493930,2300346,1628245,16341145,4383744,22960599253,545362,38338181,777690,120307874,2513377,4382612393,9198997,22458782305
81,50000000000,17126030362,16628361226,1673373763,234338668,2282524373,4347080932,16274875,127586600,971649645,1415064225,230528201,152573302,3061347285,1379842130,239757563,113666850
82,50000000000,334019,367066,332853,450246,415742,6303834,417087,22568921645,337368,4998983905,333111,628587,425871,7996339,423464,22413328863
83,50000000000,20647148,7083452,22730280578,728940497,201423653,14190842,1261417,4436638,6711877,1631237,19617984943,1706778011,1342285939,3442410258,5494947,168438563
84,50000000000,1107394163,870558466,8295687,50391824,9963310,101099096,1102043,26188022,85343530,47685983582,6368899,21748282,3280507,10623101,3035402,8624086
85,50000000000,340192,388568,340119,507344,468077,9277835,466325,24896281891,334903,437036,335872,713534,480656,12263224,481266,25076883158
86,50000000000,21813542873,3774139031,3108664959,499165442,1085564554,2807199067,11033359,131326055,213589800,2262174582,1192129040,959686456,3411055370,7990971669,307293483,432464260
87,50000000000,10383315795,9604587835,435487,490087,4052860,7322313,384524,2762096546,458946,24993952043,355390,481792,419697,4708940,358780,2236578965
88,50000000000,536972,627827,534725,895155,355300175,55833421,11363900,109520933,721698,2227256,724936,33107568,1627362206,47633303022,18145721,149794485
89,50000000000,20223574886,19297641185,1098230660,179462527,1832971325,2130272180,22252161,210816779,1048451492,2257295443,181502699,266145877,546203510,387905589,148744847,168528840
