# The Wright-Fisher run m2_N1000: memory two (65536 strategies), N = 1000, beta = 100, mu = 1e-2, eps = 1e-4, uniform mutants,
# 10 replicates per game of 1e7 generations, the second half of each sampled; the run the paper draws in Figures 4 and 5 (rows d-f) and SI Figure 3 i-p.
# Source (not deposited): DiskM2WF/Data/dw1_e4{.idx,.bin,.win} (the Cannon kit dw1, job 44394541); atoms: the exact eps -> 0 classification (DiskM2WF/Opt/exact.py: BinM2NE1's census for stability, the ca17 rival mask, self-play efficiency).
# Written by provenance/four-runs/reduce_runs.py through the loader of the published figures (wfdata.load).
# 
# Columns (one row per game, ipt order 0..511; the games are data/games/games.csv):
#   ipt          the game's index (gid = 2000 + ipt in the packs)
#   isl          the game's task index in the Cannon array of the run (runs.csv)
#   seed1        the seed of its first replicate; replicate r = 1..10 ran on seed1 + r - 1
#   u, v         the game, (R, S, T, P) = (1, u, 1 + v, 0), as the pack gives it (equal to games.csv bit for bit)
#   emax         Emax = max(R, (S + T)/2), from the pack
#   pay          the mean per-round payoff of the population over the sampled halves of the ten replicates
#   E            the realised efficiency, the pack's mean of pay/Emax over the replicates: the left column of
#                Figure 4 / SI Figure 4 (black where E < 0)
#   efsd         the s.d. of pay/Emax over the ten replicates
#   nrep         replicates found (10 at every game)
#   S_000..S_111 the share of the population (time x individuals, second half of each replicate, ten replicates
#                pooled) held by the strategies of each atom, efficient-stable-competitive, in the eps -> 0
#                classification; the seven add to 1 (101 is empty): the atom panels of SI Figures 2 and 3
#   N_000..N_111 the number of strategies of the space in each atom at the game (they add to 65536)
#   P_eff, P_nash, P_comp   the share of the population with each property, the sum of S over its atoms
#                (efficient 100+110+111, stable 010+110+011+111, competitive 001+011+111): Figure 5 / SI Figure 5
#   abundant     the integer code 4e+2n+c of the most abundant atom (largest S among the atoms with N > 0):
#                the middle column of Figure 4 / SI Figure 4 and panels h, p of SI Figures 2 and 3
#   enriched     the integer code of the most enriched atom (largest S/N among the atoms with N > 0):
#                the right column of Figure 4 / SI Figure 4
#   neff         the effective number of strategies, 1/sum_s pi(s)^2, pi the pooled abundance of each strategy
#   maxpi        the largest pi(s), the share of the most abundant single strategy
#   top          that strategy (memory-two genome code 0..65535, as in the census; ALLD 0, ALLC 65535)
ipt,isl,seed1,u,v,emax,pay,E,efsd,nrep,S_000,S_100,S_010,S_001,S_110,S_011,S_111,N_000,N_100,N_010,N_001,N_110,N_011,N_111,P_eff,P_nash,P_comp,abundant,enriched,neff,maxpi,top
10,1398,8013971,0.171875,0.5498046875,1.0,0.9882055647,0.9882055647,0.0002569153,10,0.02780063580457247,0.017474097062007005,0.0002405951633796069,0.001564193027948343,0.9525611264970135,6.757520000199618e-06,0.0003525949250786232,55095,6392,170,2612,1239,20,8,0.9703878184840992,0.953161074105472,0.0019235454730271659,6,6,53.02708624596319,0.050120830764558984,37007
11,1401,8014001,-0.521484375,-0.302734375,1.0,0.98055400936,0.98055400936,0.0001900438,10,0.04972844331583937,0.0,0.00048276460016777003,0.0017157769043276423,0.9479837401195178,4.7116600088462985e-05,4.2158460058988937e-05,53515,0,1750,2390,7631,242,8,0.9480258985795768,0.948555779779833,0.0018050519644750942,6,6,214.27360381451862,0.01986692102648637,39391
12,1404,8014031,0.615234375,-0.134765625,1.0,0.98761354849,0.98761354849,6.32075e-05,10,0.0612657523536864,0.0,6.024573998254927e-05,0.002161992661775506,0.936477213044979,1.653379996713254e-06,3.314281957989949e-05,55115,0,150,2628,7631,4,8,0.9365103558645589,0.9365722549845381,0.002196788861352119,6,6,588.1473017216007,0.007655018010375883,31711
13,1407,8014061,-0.376953125,0.5361328125,1.0,0.98644073129,0.98644073129,8.614447e-05,10,0.023932604442328923,0.009097789683478689,2.3028300030983053e-05,0.0013736428393457268,0.9654739356349222,5.7293279984722806e-05,4.170581990881272e-05,55201,5849,64,2498,1782,134,8,0.9746134311383098,0.9655959630348467,0.0014726419392392623,6,6,27.617617066596114,0.08289784926467769,32907
14,1410,8014091,-0.0869140625,-0.673828125,1.0,0.98354326117,0.98354326117,3.907279e-05,10,0.047747160985773474,0.0,0.0013548169992166838,0.0016843978356457085,0.9491644308983727,1.1300159942509915e-05,3.7893121048954265e-05,49538,0,5727,2559,7631,73,8,0.9492023240194216,0.9505684411785809,0.0017335911166371726,6,6,258.7200511035219,0.013402990982698799,39903
15,1413,8014121,0.5380859375,0.453125,1.0,0.9885993464,0.9885993464,0.0004407989,10,0.0581658575597996,0.01916696089632154,0.0016429274113995333,0.0022816889788553263,0.9181921485273363,8.767460244691733e-05,0.0004627420238407053,55019,5748,246,2612,1883,20,8,0.9378218514474985,0.9203854925650234,0.002832105605142949,6,6,73.53445396482975,0.07114765046257465,33423
16,1416,8014151,-0.7255859375,0.0302734375,1.0,0.97891151064,0.97891151064,0.01199593,10,0.028414867625994267,0.013385393459355781,0.01144676424747877,0.0011276307249567185,0.9454939859214332,7.352780032317298e-05,5.783022045800711e-05,54868,4899,397,2352,2732,280,8,0.958937209601247,0.9570721081896932,0.0012589887457378987,6,6,86.75962884268559,0.046198606731166374,32907
17,1419,8014181,0.5302734375,-0.5283203125,1.0,0.98643337433,0.98643337433,3.067091e-05,10,0.0491941717265348,0.0,9.407766008251431e-05,0.006100335139521827,0.21211207450775355,0.0,0.7324993409661074,56382,0,394,1121,6120,0,1519,0.944611415473861,0.9447054931339434,0.7385996761056292,7,7,589.3573608589526,0.009191118186554704,29663
18,1422,8014211,-0.03515625,0.76953125,1.0,0.98876467231,0.98876467231,8.95339e-05,10,0.02617289440727579,0.014274121281166893,1.6670420011062796e-05,0.0015122227053049608,0.957944216325843,4.2897000078759664e-05,3.697786031975578e-05,55213,6600,52,2539,1031,93,8,0.9722553154673297,0.9580407616062526,0.0015920975657034763,6,6,36.583533828774286,0.08388493984401543,32971
19,1425,8014241,-0.5078125,-0.6083984375,1.0,0.98138839896,0.98138839896,9.851562e-05,10,0.04510579237387808,0.0,0.001466642780360693,0.0015381586595644343,0.9518042218662,5.0431379905778865e-05,3.4752940091237056e-05,49311,0,5954,2324,7631,308,8,0.9518389748062912,0.9533560489665577,0.0016233429795614502,6,6,238.4337567131408,0.01575084029792166,39391
20,1428,8014271,0.8056640625,0.1083984375,1.0,0.98764410051,0.98764410051,8.357432e-05,10,0.05584361464707766,0.029113336836421474,0.00013396588106834526,0.0019850357371350162,0.9128930319582282,8.396499990782848e-06,2.261844007828587e-05,55029,5740,236,2612,1891,20,8,0.942028987234728,0.9130580127793657,0.0020160506772040846,6,6,174.77926682903197,0.02039981446604914,57739
21,1431,8014301,-0.68359375,0.4755859375,1.0,0.98487669279,0.98487669279,0.0001543939,10,0.023267514473929957,0.008558318507762157,4.9371720254731805e-05,0.001187665165489301,0.9668050772524495,9.604594037570927e-05,3.600693973876012e-05,55114,4907,151,2392,2724,240,8,0.9753994026999503,0.9669865018528186,0.0013197180456037704,6,6,35.01138370913653,0.09300303499900946,37003
22,1434,8014331,0.1875,-0.83203125,1.0,0.98508791153,0.98508791153,1.958023e-05,10,0.04266271597415521,0.0,0.0006108465602438632,0.006002555171747468,0.20040407404941968,0.0,0.7503198082444338,53708,0,3068,1121,6120,0,1519,0.9507238822938535,0.9513347288540973,0.7563223634161812,7,7,512.028540029666,0.008702964525509253,64351
23,1437,8014361,0.43359375,0.7568359375,1.09521484375,1.0811927142,0.9871969143,0.0002401207,10,0.05697127062664219,0.004757383620706591,0.0002635099392091825,0.004031926304689935,0.9176831918666052,0.0,0.016292717642146765,59314,2120,590,2560,872,0,80,0.9387332931294585,0.9342394194479612,0.0203246439468367,6,6,42.70658499948822,0.05744365578717755,52010
24,1440,8014391,-0.849609375,-0.271484375,1.0,0.98010165583,0.98010165583,0.0002427174,10,0.043896421533915535,0.0,0.0004664147205040144,0.0014724524612697225,0.9540514376039749,7.281275987221058e-05,4.046092046348333e-05,53415,0,1850,2255,7631,377,8,0.9540918985244384,0.9546311260048147,0.0015857261416054164,6,6,158.75938186255686,0.030865902095091362,33759
25,1443,8014421,0.8271484375,-0.3818359375,1.0,0.98946670095,0.98946670095,4.772341e-05,10,0.052715800186000965,0.0,0.0,0.006184835715746401,0.1798025876753141,0.0,0.7612967764229385,56776,0,0,1121,6120,0,1519,0.9410993640982526,0.9410993640982526,0.7674816121386848,7,7,605.3899482552428,0.010745806613753238,59359
26,1446,8014451,-0.359375,0.857421875,1.0,0.98767926299,0.98767926299,8.444105e-05,10,0.024937164454577096,0.013159569809160495,1.0529319952603908e-05,0.0015969241986882711,0.9601200130977083,8.402583942589516e-05,9.1773280487287e-05,55229,6600,36,2495,1031,137,8,0.973371356187356,0.9603063415375741,0.0017727233186014533,6,6,25.151530413622194,0.10001335294533417,37003
27,1449,8014481,-0.3212890625,-0.8916015625,1.0,0.98284842588,0.98284842588,4.300824e-05,10,0.043742027617076774,0.0,0.0013360868989251403,0.001528938677373015,0.953334565227175,2.228453990192354e-05,3.6097039548087946e-05,48873,0,6392,2487,7631,145,8,0.9533706622667231,0.9547290337055502,0.0015873202568230265,6,6,224.7790948947691,0.01826528271747038,40927
28,1452,8014511,0.85546875,0.44921875,1.15234375,1.13724439,0.98689682653,0.0004016321,10,0.05557690388288471,0.0033325986817296527,0.0002982942624599264,0.0036760415666845713,0.9284463273346703,0.0,0.008669834271570899,59210,1856,694,2560,1136,0,80,0.9404487602879708,0.9374144558687011,0.012345875838255471,6,6,31.342285149607317,0.08933290162531972,53002
29,1455,8014541,-0.951171875,0.2509765625,1.0,0.98273928257,0.98273928257,0.0004253204,10,0.023132401634215115,0.00859762957606843,7.101447985236164e-05,0.0009847986366737392,0.967093487333756,8.883059981513967e-05,3.1837739619206104e-05,55001,4903,264,2314,2728,318,8,0.9757229546494437,0.9672851701530427,0.0011054669761080848,6,6,48.906742312982864,0.05371962474411433,37003
30,1458,8014571,0.5419921875,-0.8427734375,1.0,0.98722393461,0.98722393461,2.30154e-05,10,0.043767311352695834,0.0,0.00010476168011510807,0.006169867294704463,0.1716431195103334,0.0,0.7783149401621512,56176,0,600,1121,6120,0,1519,0.9499580596724846,0.9500628213525997,0.7844848074568557,7,7,555.3254976300655,0.00785734505169255,61407
31,1461,8014601,0.1728515625,1.00390625,1.08837890625,1.075082562,0.98778334991,0.0003047541,10,0.056114664196998155,0.005563581018078821,8.081241930816172e-05,0.004459830128714261,0.9205669179979523,0.0,0.013214194238948457,59746,2248,158,2560,744,0,80,0.9393446932549796,0.9338619246562089,0.017674024367662716,6,6,14.989578590999198,0.1757381843670346,51970
32,1464,8014631,-0.8193359375,-0.6337890625,1.0,0.98021863673,0.98021863673,0.0001496496,10,0.04204663728671925,0.0,0.0014006390416115844,0.00146202124403157,0.9549873623875907,6.678960002227054e-05,3.655044002448707e-05,49149,0,6116,2223,7631,409,8,0.9550239128276152,0.9564913414692491,0.0015653612840783278,6,6,149.46846226620704,0.029307527509361074,37855
33,1467,8014661,1.048828125,-0.0869140625,1.0,0.99812416338,0.99812416338,7.809534e-06,10,0.053516399538609115,0.019393882388786084,0.0,0.005958438944857413,0.010141244420600305,0.0,0.9109900347071471,56776,5301,0,1121,819,0,1519,0.9405251615165335,0.9211312791277474,0.9169484736520045,7,7,95.43437872255119,0.02423953818108088,53247
34,1470,8014691,-0.7265625,0.78515625,1.0,0.98580067362,0.98580067362,8.598738e-05,10,0.022654961107267543,0.007643117577973144,0.0,0.0012917831506380317,0.9682587326450109,0.00011325801920725439,3.814749990309935e-05,55265,6057,0,2388,1574,244,8,0.9759399977228871,0.9684101381641212,0.0014431886697483854,6,6,28.364582262914226,0.06996995908002322,37003
35,1473,8014721,0.0048828125,-1.0859375,1.0,0.98500070066,0.98500070066,3.990798e-05,10,0.03825683633956414,0.0,0.0006167471598330914,0.0057382734794319944,0.1714205053354251,0.0,0.7839676376857456,53061,0,3715,1121,6120,0,1519,0.9553881430211707,0.9560048901810039,0.7897059111651776,7,7,401.44178806830917,0.010678679687382042,47071
36,1476,8014751,0.740234375,0.81640625,1.2783203125,1.2612143292,0.98661839049,0.000200751,10,0.057596192632210705,0.003677284904695612,0.00010443774003770674,0.004165689559555226,0.9292694086870372,0.0,0.005186986476463552,59635,1856,269,2560,1136,0,80,0.9381336800681964,0.9345608329035384,0.009352676036018779,6,6,19.742272794458934,0.11369442199661232,53034
37,1479,8014781,-1.11328125,-0.103515625,1.0,0.98118321099,0.98118321099,0.0002225633,10,0.03208613625527435,0.0,0.00033332793961564453,0.0010790559566748758,0.9663296262685526,0.0001329837597905259,3.886982009213829e-05,53726,0,1539,1998,7631,634,8,0.9663684960886447,0.9668348077880509,0.0012509095365575399,6,6,48.34118651911851,0.10112144776950796,37343
38,1482,8014811,0.9033203125,-0.685546875,1.0,0.99015890377,0.99015890377,6.28241e-05,10,0.04604693415100636,0.0,0.0,0.006194959017602123,0.12209882059625231,0.0,0.8256592862351391,56776,0,0,1121,6120,0,1519,0.9477581068313914,0.9477581068313914,0.8318542452527412,7,7,585.7335745269256,0.005105997433086909,61407
