# The exact eps -> 0 limit of the stationary distribution of every ordered pair of binary memory-one
# strategies with independent implementation errors, computed by sitable8.py (Markov chain tree theorem,
# exact rational arithmetic). sigma, tau: the genomes (answers at CC, CD, DC, DD); sigma_id, tau_id: their ids.
# w_CC, w_CD, w_DC, w_DD: the limit frequencies of the four outcomes seen from sigma's side, as exact fractions.
# sigma's payoff is R w_CC + S w_CD + T w_DC + P w_DD, tau's is R w_CC + T w_CD + S w_DC + P w_DD.
sigma,tau,sigma_id,tau_id,w_CC,w_CD,w_DC,w_DD
CCCD,CDDD,7,1,1/4,1/2,0,1/4
CCCD,DCDD,7,2,0,2/3,0,1/3
CCCD,CCDD,7,3,1/2,1/3,0,1/6
CCCD,DDCD,7,4,2/5,2/5,0,1/5
CCCD,CDCD,7,5,1,0,0,0
CCCD,DCCD,7,6,2/5,2/5,0,1/5
CCCD,CCCD,7,7,1,0,0,0
CCCD,DDDC,7,8,0,1,0,0
CCCD,CDDC,7,9,1/3,2/3,0,0
CCCD,DCDC,7,10,0,1,0,0
CCCD,CCDC,7,11,2/3,1/3,0,0
CCCD,DDCC,7,12,1/2,1/2,0,0
CCCD,CDCC,7,13,1,0,0,0
CCCD,DCCC,7,14,1/2,1/2,0,0
CCCD,CCCC,7,15,1,0,0,0
DDDC,DDDD,8,0,0,1/2,0,1/2
DDDC,CDDD,8,1,0,1/2,0,1/2
DDDC,DCDD,8,2,0,2/5,1/5,2/5
DDDC,CCDD,8,3,0,1/4,1/2,1/4
DDDC,DDCD,8,4,0,1/3,1/3,1/3
DDDC,CDCD,8,5,0,1/3,1/3,1/3
DDDC,DCCD,8,6,0,0,1,0
DDDC,CCCD,8,7,0,0,1,0
DDDC,DDDC,8,8,1/2,0,0,1/2
DDDC,CDDC,8,9,1/3,0,1/3,1/3
DDDC,DCDC,8,10,1/3,0,1/3,1/3
DDDC,CCDC,8,11,0,0,1,0
DDDC,DDCC,8,12,1/2,0,0,1/2
DDDC,CDCC,8,13,1/3,0,1/3,1/3
DDDC,DCCC,8,14,1/4,0,1/2,1/4
DDDC,CCCC,8,15,0,0,1,0
CDDC,DDDD,9,0,0,1/2,0,1/2
CDDC,CDDD,9,1,1/5,2/5,0,2/5
CDDC,DCDD,9,2,0,2/5,1/5,2/5
CDDC,CCDD,9,3,1/4,1/4,1/4,1/4
CDDC,DDCD,9,4,0,1/3,1/3,1/3
CDDC,CDCD,9,5,1/4,1/4,1/4,1/4
CDDC,DCCD,9,6,0,0,1,0
CDDC,CCCD,9,7,1/3,0,2/3,0
CDDC,DDDC,9,8,1/3,1/3,0,1/3
CDDC,CDDC,9,9,1,0,0,0
CDDC,DCDC,9,10,1/4,1/4,1/4,1/4
CDDC,CCDC,9,11,2/3,0,1/3,0
CDDC,DDCC,9,12,1/4,1/4,1/4,1/4
CDDC,CDCC,9,13,1,0,0,0
CDDC,DCCC,9,14,0,0,1,0
CDDC,CCCC,9,15,1/2,0,1/2,0
DCDC,DDDD,10,0,0,1,0,0
DCDC,CDDD,10,1,0,1,0,0
DCDC,DCDD,10,2,0,1,0,0
DCDC,CCDD,10,3,0,1/2,1/2,0
DCDC,DDCD,10,4,1/3,1/3,0,1/3
DCDC,CDCD,10,5,1/4,1/4,1/4,1/4
DCDC,DCCD,10,6,1/4,1/4,1/4,1/4
DCDC,CCCD,10,7,0,0,1,0
DCDC,DDDC,10,8,1/3,1/3,0,1/3
DCDC,CDDC,10,9,1/4,1/4,1/4,1/4
DCDC,DCDC,10,10,1/4,1/4,1/4,1/4
DCDC,CCDC,10,11,0,0,1,0
DCDC,DDCC,10,12,1/2,0,0,1/2
DCDC,CDCC,10,13,1/3,0,1/3,1/3
DCDC,DCCC,10,14,1/3,0,1/3,1/3
DCDC,CCCC,10,15,0,0,1,0
CCDC,DDDD,11,0,0,1,0,0
CCDC,CDDD,11,1,1/3,2/3,0,0
CCDC,DCDD,11,2,0,1,0,0
CCDC,CCDD,11,3,1/3,1/2,1/6,0
CCDC,DDCD,11,4,1/2,1/2,0,0
CCDC,CDCD,11,5,1,0,0,0
CCDC,DCCD,11,6,2/5,2/5,1/5,0
CCDC,CCCD,11,7,2/3,0,1/3,0
CCDC,DDDC,11,8,0,1,0,0
CCDC,CDDC,11,9,2/3,1/3,0,0
CCDC,DCDC,11,10,0,1,0,0
CCDC,CCDC,11,11,1/2,1/4,1/4,0
CCDC,DDCC,11,12,1/2,1/2,0,0
CCDC,CDCC,11,13,1,0,0,0
CCDC,DCCC,11,14,2/5,2/5,1/5,0
CCDC,CCCC,11,15,2/3,0,1/3,0
DDCC,DDDD,12,0,0,1/2,0,1/2
DDCC,CDDD,12,1,0,1/2,0,1/2
DDCC,DCDD,12,2,0,1/2,0,1/2
DDCC,CCDD,12,3,1/4,1/4,1/4,1/4
DDCC,DDCD,12,4,0,1/2,1/2,0
DDCC,CDCD,12,5,0,1/2,1/2,0
DDCC,DCCD,12,6,1/4,1/4,1/4,1/4
DDCC,CCCD,12,7,1/2,0,1/2,0
DDCC,DDDC,12,8,1/2,0,0,1/2
DDCC,CDDC,12,9,1/4,1/4,1/4,1/4
DDCC,DCDC,12,10,1/2,0,0,1/2
DDCC,CCDC,12,11,1/2,0,1/2,0
DDCC,DDCC,12,12,1/4,1/4,1/4,1/4
DDCC,CDCC,12,13,0,1/2,1/2,0
DDCC,DCCC,12,14,1/2,0,0,1/2
DDCC,CCCC,12,15,1/2,0,1/2,0
CDCC,DDDD,13,0,0,1/2,0,1/2
CDCC,CDDD,13,1,1/5,2/5,0,2/5
CDCC,DCDD,13,2,0,1/2,0,1/2
CDCC,CCDD,13,3,1/2,1/4,0,1/4
CDCC,DDCD,13,4,0,1/2,1/2,0
CDCC,CDCD,13,5,1/3,1/3,1/3,0
CDCC,DCCD,13,6,1/3,1/3,1/3,0
CDCC,CCCD,13,7,1,0,0,0
CDCC,DDDC,13,8,1/3,1/3,0,1/3
CDCC,CDDC,13,9,1,0,0,0
CDCC,DCDC,13,10,1/3,1/3,0,1/3
CDCC,CCDC,13,11,1,0,0,0
CDCC,DDCC,13,12,0,1/2,1/2,0
CDCC,CDCC,13,13,1/2,1/4,1/4,0
CDCC,DCCC,13,14,1/3,1/3,1/3,0
CDCC,CCCC,13,15,1,0,0,0
DCCC,DDDD,14,0,0,1,0,0
DCCC,CDDD,14,1,0,1,0,0
DCCC,DCDD,14,2,0,1,0,0
DCCC,CCDD,14,3,1/4,1/2,1/4,0
DCCC,DDCD,14,4,1/3,1/3,0,1/3
DCCC,CDCD,14,5,1/3,1/3,1/3,0
DCCC,DCCD,14,6,1/3,1/3,0,1/3
DCCC,CCCD,14,7,1/2,0,1/2,0
DCCC,DDDC,14,8,1/4,1/2,0,1/4
DCCC,CDDC,14,9,0,1,0,0
DCCC,DCDC,14,10,1/3,1/3,0,1/3
DCCC,CCDC,14,11,2/5,1/5,2/5,0
DCCC,DDCC,14,12,1/2,0,0,1/2
DCCC,CDCC,14,13,1/3,1/3,1/3,0
DCCC,DCCC,14,14,1/2,0,0,1/2
DCCC,CCCC,14,15,1/2,0,1/2,0
CCCC,DDDD,15,0,0,1,0,0
CCCC,CDDD,15,1,1/3,2/3,0,0
CCCC,DCDD,15,2,0,1,0,0
CCCC,CCDD,15,3,1/2,1/2,0,0
CCCC,DDCD,15,4,1/2,1/2,0,0
CCCC,CDCD,15,5,1,0,0,0
CCCC,DCCD,15,6,1/2,1/2,0,0
CCCC,CCCD,15,7,1,0,0,0
CCCC,DDDC,15,8,0,1,0,0
CCCC,CDDC,15,9,1/2,1/2,0,0
CCCC,DCDC,15,10,0,1,0,0
CCCC,CCDC,15,11,2/3,1/3,0,0
CCCC,DDCC,15,12,1/2,1/2,0,0
CCCC,CDCC,15,13,1,0,0,0
CCCC,DCCC,15,14,1/2,1/2,0,0
CCCC,CCCC,15,15,1,0,0,0
